"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4263","전라남도","광양시","일반국도",3,127.593597,"1",80,NA
"4264","전라남도","광양시","일반국도",3,127.592503,"1",80,NA
"4265","전라남도","광양시","일반국도",3,127.612398,"1",80,NA
"4266","전라남도","광양시","일반국도",3,127.667605,"1",80,NA
"4656","전라남도","광양시","시도",3,127.696242,"1",30,NA
"5535","전라남도","광양시","시도",3,127.610866,"2",60,NA
"7934","전라남도","광양시","시도",3,127.581667,"2",50,NA
"7935","전라남도","광양시","일반국도",3,127.626563,"1",80,NA
"7936","전라남도","광양시","일반국도",3,127.629842,"1",60,NA
"7978","전라남도","광양시","일반국도",3,127.619839,"2",70,NA
"7979","전라남도","광양시","일반국도",3,127.662991,"2",70,NA
"7980","전라남도","광양시","시도",3,127.725181,"2",60,NA
"7981","전라남도","광양시","시도",3,127.688295,"2",50,NA
"7982","전라남도","광양시","시도",3,127.679639,"2",60,NA
"7983","전라남도","광양시","시도",3,127.743735,"2",60,NA
"8007","전라남도","광양시","일반국도",3,127.623991,"1",70,2.5
"8008","전라남도","광양시","일반국도",3,127.644275,"1",70,2.5
"8069","전라남도","광양시","지방도",3,127.603244,"2",60,NA
"8070","전라남도","광양시","지방도",3,127.580871,"2",60,NA
"8071","전라남도","광양시","지방도",3,127.560086,"2",60,NA
"8072","전라남도","광양시","지방도",3,127.586274,"2",60,NA
"8073","전라남도","광양시","지방도",3,127.550291,"2",60,NA
"8074","전라남도","광양시","지방도",3,127.550958,"2",60,NA
"8079","전라남도","광양시","일반국도",3,127.675116,"2",80,NA
"8080","전라남도","광양시","일반국도",3,127.724207,"2",80,NA
"8081","전라남도","광양시","일반국도",3,127.719121,"2",80,NA
"8082","전라남도","광양시","일반국도",3,127.743082,"2",60,NA
"9426","전라남도","광양시","시도",3,127.711465,"1",80,NA
"9435","전라남도","광양시","시도",3,127.679821,"2",60,NA
"9459","전라남도","광양시","일반국도",3,127.767273,"1",60,NA
"9506","전라남도","광양시","일반국도",3,127.766237,"1",60,NA
"9507","전라남도","광양시","일반국도",3,127.766528,"1",60,NA
"9514","전라남도","광양시","일반국도",3,127.578837,"2",60,NA
"9515","전라남도","광양시","지방도",3,127.689647,"2",80,NA
"9516","전라남도","광양시","일반국도",3,127.639221,"2",80,NA
"9544","전라남도","광양시","일반국도",3,127.564372,"1",60,NA
"9545","전라남도","광양시","일반국도",3,127.689409,"2",60,NA
"9546","전라남도","광양시","일반국도",3,127.732868,"2",60,NA
"9547","전라남도","광양시","지방도",3,127.722621,"2",80,NA
"9548","전라남도","광양시","지방도",3,127.721885,"1",60,NA
"9549","전라남도","광양시","지방도",3,127.698411,"1",60,NA
"9551","전라남도","광양시","지방도",3,127.667669,"1",40,NA
"9552","전라남도","광양시","지방도",3,127.661248,"1",40,NA
"9712","전라남도","광양시","시도",3,127.660648,"2",60,NA
"9713","전라남도","광양시","시도",3,127.675508,"2",60,NA
"9714","전라남도","광양시","시도",3,127.677391,"2",60,NA
"9741","전라남도","광양시","일반국도",3,127.585681,"1",60,NA
"9743","전라남도","광양시","시도",3,127.685633,"1",60,NA
"9774","전라남도","광양시","일반국도",3,127.691813,"2",60,NA
"9775","전라남도","광양시","시도",3,127.486446,"2",60,NA
"9776","전라남도","광양시","일반국도",3,127.564376,"1",60,NA
"9798","전라남도","광양시","고속국도",2,127.669214,"1",100,NA
"9821","전라남도","광양시","일반국도",3,127.610876,"1",80,NA
"9822","전라남도","광양시","일반국도",3,127.755871,"1",80,NA
"9849","전라남도","광양시","시도",3,127.705027,"1",60,6.4
"9850","전라남도","광양시","시도",3,127.705027,"1",60,6.4
"9851","전라남도","광양시","시도",3,127.705027,"1",60,6.4
"9856","전라남도","광양시","시도",3,127.705027,"1",60,6.4
"9857","전라남도","광양시","시도",3,127.705027,"1",60,6.4
"16212","전라남도","광양시","일반국도",3,127.765601,"2",60,NA
"16213","전라남도","광양시","지방도",3,127.718201,"1",60,NA
"16214","전라남도","광양시","시도",3,127.595201,"1",80,NA
"16215","전라남도","광양시","시도",3,127.693331,"2",60,NA
"16216","전라남도","광양시","지방도",3,127.758435,"2",60,NA
"16217","전라남도","광양시","지방도",3,127.397331,"1",60,NA
"16218","전라남도","광양시","지방도",3,127.747825,"1",80,NA
"16222","전라남도","광양시","일반국도",3,126.617701,"2",80,NA
"16404","전라남도","광양시","일반국도",3,127.571601,"2",60,NA
"16406","전라남도","광양시","일반국도",3,127.581001,"2",80,NA
"16407","전라남도","광양시","지방도",3,127.653601,"2",80,NA
"16408","전라남도","광양시","시도",3,127.706901,"2",80,NA
"16409","전라남도","광양시","일반국도",3,127.733501,"2",60,NA
