"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5527","전라남도","영광군","군도",3,126.396761,"1",30,NA
"5528","전라남도","영광군","군도",3,126.367502,"1",30,NA
"5529","전라남도","영광군","군도",3,126.447246,"1",30,NA
"5530","전라남도","영광군","군도",3,126.454501,"1",30,NA
"5531","전라남도","영광군","군도",3,126.454501,"1",30,NA
"5532","전라남도","영광군","군도",3,126.520543,"1",80,NA
"5533","전라남도","영광군","일반국도",3,126.355406,"1",60,NA
"5534","전라남도","영광군","일반국도",3,126.444225,"1",60,NA
"6143","전라남도","영광군","군도",3,126.507164,"1",30,NA
"6144","전라남도","영광군","군도",3,126.580543,"1",30,NA
"7964","전라남도","영광군","일반국도",3,126.466401,"1",80,NA
"8051","전라남도","영광군","군도",3,126.512765,"1",30,NA
"8052","전라남도","영광군","군도",3,126.505804,"2",40,NA
"8053","전라남도","영광군","지방도",3,126.430601,"1",60,NA
"8054","전라남도","영광군","일반국도",3,126.549322,"2",80,NA
"8055","전라남도","영광군","일반국도",3,126.566931,"2",80,NA
"9439","전라남도","영광군","지방도",3,126.458965,"1",80,NA
"9462","전라남도","영광군","일반국도",3,126.448944,"2",70,NA
"9463","전라남도","영광군","일반국도",3,126.502353,"2",70,NA
"9525","전라남도","영광군","지방도",3,126.458775,"1",60,NA
"9550","전라남도","영광군","군도",3,126.5009144,"4",0,NA
"9562","전라남도","영광군","일반국도",3,126.544517,"2",70,NA
"9563","전라남도","영광군","지방도",3,126.442074,"1",60,NA
"9586","전라남도","영광군","군도",3,127.248911,"1",60,NA
"9682","전라남도","영광군","일반국도",3,126.384695,"1",60,NA
"9683","전라남도","영광군","일반국도",3,126.492637,"1",60,NA
"9803","전라남도","영광군","일반국도",3,126.419444,"1",40,NA
"10443","전라남도","영광군","군도",3,126.5119262,"4",0,NA
"10786","전라남도","영광군","군도",3,126.501431,"4",0,NA
"11376","전라남도","영광군","군도",3,NA,"4",0,NA
"11887","전라남도","영광군","군도",3,126.504543,"4",0,NA
"11888","전라남도","영광군","군도",1,126.504525,"4",0,NA
"11889","전라남도","영광군","군도",3,126.502056,"4",0,NA
"11890","전라남도","영광군","군도",1,126.509499,"4",0,NA
"11891","전라남도","영광군","군도",1,126.5106505,"4",0,NA
"11892","전라남도","영광군","군도",3,126.504506,"4",0,NA
"11893","전라남도","영광군","군도",3,126.500705,"4",0,NA
"11894","전라남도","영광군","군도",3,126.5118200255,"4",0,NA
"11895","전라남도","영광군","군도",3,126.5132333,"4",0,NA
"11896","전라남도","영광군","군도",3,126.5031688,"4",0,NA
