"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2419","부산광역시","강서구","기타",3,128.831382,"2",50,NA
"2430","부산광역시","강서구","특별시도",3,128.887607,"2",70,NA
"2495","부산광역시","강서구","기타",3,128.859052,"2",50,NA
"2496","부산광역시","강서구","특별시도",3,128.949347,"2",40,NA
"4552","서울특별시","강서구","일반국도",1,126.816824,"2",60,NA
"4553","서울특별시","강서구","일반국도",2,126.816276,"1",60,NA
"4566","서울특별시","강서구","일반국도",2,126.810091,"2",50,NA
"4567","서울특별시","강서구","일반국도",1,126.877417,"2",50,NA
"5896","부산광역시","강서구","지방도",1,128.810471,"01",80,9.4
"6156","부산광역시","강서구","지방도",1,128.810846,"01",80,9.4
"6157","부산광역시","강서구","지방도",1,128.810846,"01",80,9.4
"6194","부산광역시","강서구","구도",1,128.922118,"4",60,NA
"6195","부산광역시","강서구","구도",1,128.899437,"4",60,NA
"6196","부산광역시","강서구","구도",1,128.9171377,"4",60,NA
"6197","부산광역시","강서구","구도",1,128.927207,"4",60,NA
"6198","부산광역시","강서구","구도",1,128.911471,"4",60,NA
"6199","부산광역시","강서구","구도",1,128.928402,"4",60,NA
"6200","부산광역시","강서구","구도",1,238.877694,"4",60,NA
"6201","부산광역시","강서구","구도",1,128.855263,"4",60,NA
"6202","부산광역시","강서구","구도",1,128.974119,"4",60,NA
"8871","부산광역시","강서구","특별시도",3,128.893615,"2",70,NA
"11236","부산광역시","강서구","특별시도",3,128.900109,"2",70,NA
"11237","부산광역시","강서구","특별시도",3,128.881136,"2",60,NA
"11238","부산광역시","강서구","특별시도",3,128.912162,"2",70,NA
"11248","부산광역시","강서구","기타",3,128.874004,"2",30,NA
"11249","부산광역시","강서구","기타",3,128.921602,"2",30,NA
"11723","부산광역시","강서구","기타",3,128.834929,"2",60,NA
"11724","부산광역시","강서구","기타",3,128.834538,"2",60,NA
"11725","부산광역시","강서구","기타",3,128.834983,"2",60,NA
"11731","부산광역시","강서구","특별시도",3,128.905261,"2",50,NA
"12354","서울특별시","강서구","일반국도",1,126.816183,"2",50,NA
"12387","서울특별시","강서구","특별시도",1,126.81832,"1",40,NA
"12388","서울특별시","강서구","특별시도",1,126.816998,"2",50,NA
"12389","서울특별시","강서구","특별시도",2,126.816538,"2",50,NA
"12409","서울특별시","강서구","특별시도",1,126.847519,"2",60,NA
"12687","부산광역시","강서구","특별시도",3,128.907585,"2",50,NA
"12886","서울특별시","강서구","일반국도",2,126.869018,"1",50,NA
"12945","서울특별시","강서구","일반국도",2,126.852547,"2",50,NA
"13191","부산광역시","강서구","기타",3,128.852421,"1",50,NA
"13194","부산광역시","강서구","특별시도",3,128.877419,"2",70,NA
"13794","부산광역시","강서구","구도",1,128.9034417,"4",60,NA
"13795","부산광역시","강서구","구도",1,128.903575,"4",60,NA
"13796","부산광역시","강서구","구도",1,128.9574983,"4",60,NA
"13797","부산광역시","강서구","구도",1,128.9013053,"4",60,NA
"13798","부산광역시","강서구","구도",1,128.8547707,"4",60,NA
"13799","부산광역시","강서구","구도",1,128.9373257,"4",60,NA
"13800","부산광역시","강서구","구도",1,128.9506194,"4",60,NA
"13801","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13802","부산광역시","강서구","구도",1,128.8777651,"4",60,NA
"13803","부산광역시","강서구","구도",1,128.9202933,"4",60,NA
"13804","부산광역시","강서구","구도",1,128.9229331,"4",60,NA
"13805","부산광역시","강서구","구도",1,128.8489474,"4",60,NA
"13806","부산광역시","강서구","구도",1,128.8729464,"4",60,NA
"13807","부산광역시","강서구","구도",1,128.8360745,"4",60,NA
"13808","부산광역시","강서구","구도",1,128.9193225,"4",60,NA
"13809","부산광역시","강서구","구도",1,128.9115491,"4",60,NA
"13810","부산광역시","강서구","구도",1,128.915168,"4",60,NA
"13811","부산광역시","강서구","구도",1,128.920819,"4",60,NA
"13812","부산광역시","강서구","구도",1,128.9239994,"4",60,NA
"13813","부산광역시","강서구","구도",1,128.8646646,"4",60,NA
"13814","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13815","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13816","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13832","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13833","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13834","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13835","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13836","부산광역시","강서구","구도",1,128.9798286,"4",60,NA
"13837","부산광역시","강서구","구도",1,128.9821053,"4",60,NA
"13838","부산광역시","강서구","구도",1,128.9457991,"4",60,NA
"13839","부산광역시","강서구","구도",1,128.8859743,"4",60,NA
"13840","부산광역시","강서구","구도",1,128.9524284,"4",60,NA
"13841","부산광역시","강서구","구도",1,128.9542007,"4",60,NA
"14766","부산광역시","강서구","특별시도",3,128.880965,"1",60,NA
"14799","부산광역시","강서구","일반국도",3,128.937336,"2",60,NA
"14806","부산광역시","강서구","특별시도",3,128.864829,"2",60,NA
"14823","부산광역시","강서구","기타",3,128.899554,"1",30,NA
"14992","부산광역시","강서구","일반국도",3,128.907092,"2",60,NA
"14993","부산광역시","강서구","기타",3,128.923671,"2",50,NA
"15017","부산광역시","강서구","일반국도",3,128.952946,"1",60,NA
"15018","부산광역시","강서구","일반국도",3,128.978697,"1",60,NA
"15168","부산광역시","강서구","특별시도",3,128.928482,"2",70,NA
"15170","부산광역시","강서구","일반국도",3,128.962435,"1",60,NA
"15171","부산광역시","강서구","일반국도",3,128.943706,"2",60,NA
"15172","부산광역시","강서구","특별시도",3,128.873908,"1",60,NA
"15180","부산광역시","강서구","특별시도",3,128.984511,"2",70,NA
"15181","부산광역시","강서구","특별시도",3,128.984691,"2",70,NA
"15182","부산광역시","강서구","특별시도",3,128.880185,"2",60,NA
"15198","부산광역시","강서구","특별시도",3,128.953783,"2",50,NA
"15237","부산광역시","강서구","특별시도",3,128.890626,"2",60,NA
"15241","부산광역시","강서구","특별시도",3,128.900796,"2",70,NA
"15335","부산광역시","강서구","특별시도",3,128.963566,"1",70,NA
"15336","부산광역시","강서구","특별시도",3,128.936521,"1",70,NA
"15337","부산광역시","강서구","일반국도",3,128.923726,"1",60,NA
"15339","부산광역시","강서구","기타",3,128.910037,"1",30,NA
"15340","부산광역시","강서구","특별시도",3,128.839401,"1",60,NA
"15341","부산광역시","강서구","특별시도",3,128.856889,"1",70,NA
"15342","부산광역시","강서구","특별시도",3,128.849441,"1",70,NA
"15343","부산광역시","강서구","기타",3,128.820543,"1",50,NA
"15361","부산광역시","강서구","특별시도",3,128.927958,"2",70,NA
"15363","부산광역시","강서구","특별시도",3,128.895979,"2",80,NA
"15375","부산광역시","강서구","특별시도",3,128.900692,"2",70,NA
"15376","부산광역시","강서구","특별시도",3,128.862201,"2",70,NA
"15381","부산광역시","강서구","특별시도",3,128.857395,"1",60,NA
"15382","부산광역시","강서구","일반국도",3,128.870985,"1",70,NA
"15383","부산광역시","강서구","특별시도",3,128.969228,"1",70,NA
"15385","부산광역시","강서구","일반국도",3,128.925461,"2",60,NA
"15395","부산광역시","강서구","특별시도",3,128.945911,"2",70,NA
"15396","부산광역시","강서구","기타",3,128.834645,"2",60,NA
"15409","부산광역시","강서구","일반국도",3,128.913113,"1",80,NA
"15418","부산광역시","강서구","특별시도",3,128.873974,"1",60,NA
"15424","부산광역시","강서구","특별시도",3,128.889445,"2",60,NA
"15430","부산광역시","강서구","특별시도",3,128.896283,"1",60,NA
"15434","부산광역시","강서구","특별시도",3,128.839562,"2",60,NA
"15436","부산광역시","강서구","지방도",3,128.709404,"1",80,NA
