"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2421","부산광역시","기장군","특별시도",3,129.262201,"1",50,NA
"2422","부산광역시","기장군","특별시도",3,129.162265,"2",60,NA
"2423","부산광역시","기장군","특별시도",3,129.164942,"2",60,NA
"2442","부산광역시","기장군","특별시도",3,129.153312,"1",70,NA
"2443","부산광역시","기장군","특별시도",3,129.177884,"1",70,NA
"6279","부산광역시","기장군","특별시도",3,129.219247,"2",30,NA
"6280","부산광역시","기장군","기타",3,129.212241,"2",30,NA
"8883","부산광역시","기장군","특별시도",3,129.188052,"1",70,NA
"8884","부산광역시","기장군","특별시도",3,129.225522,"1",70,NA
"11720","부산광역시","기장군","군도",3,129.254389,"2",30,NA
"11721","부산광역시","기장군","지방도",3,129.240941,"2",30,NA
"11722","부산광역시","기장군","시도",3,129.226628,"2",30,NA
"13192","부산광역시","기장군","특별시도",3,129.207003,"1",60,NA
"14777","부산광역시","기장군","특별시도",3,129.276843,"2",50,NA
"14778","부산광역시","기장군","특별시도",3,129.204756,"1",60,NA
"14779","부산광역시","기장군","특별시도",3,129.180026,"2",60,NA
"14780","부산광역시","기장군","특별시도",3,129.181088,"2",50,NA
"14781","부산광역시","기장군","기타",3,129.169481,"2",50,NA
"14782","부산광역시","기장군","고속국도",1,129.225613,"1",60,NA
"14802","부산광역시","기장군","특별시도",3,129.216131,"2",30,NA
"14803","부산광역시","기장군","특별시도",3,129.213712,"2",30,NA
"14994","부산광역시","기장군","특별시도",3,129.239919,"1",60,NA
"14995","부산광역시","기장군","특별시도",3,129.224659,"1",70,NA
"14997","부산광역시","기장군","지방도",3,129.242596,"2",50,NA
"14998","부산광역시","기장군","특별시도",3,129.184428,"2",60,NA
"15148","부산광역시","기장군","일반국도",3,129.242104,"2",70,NA
"15149","부산광역시","기장군","특별시도",3,129.176712,"2",60,NA
"15150","부산광역시","기장군","일반국도",3,129.240376,"2",70,NA
"15151","부산광역시","기장군","일반국도",3,129.215371,"2",60,NA
"15175","부산광역시","기장군","특별시도",3,129.175521,"1",70,NA
"15176","부산광역시","기장군","특별시도",3,129.175521,"1",70,NA
"15177","부산광역시","기장군","특별시도",3,129.175521,"1",70,NA
"15178","부산광역시","기장군","일반국도",3,129.247397,"1",70,NA
"15179","부산광역시","기장군","특별시도",3,129.190536,"2",60,NA
"15199","부산광역시","기장군","특별시도",3,129.257173,"1",50,NA
"15200","부산광역시","기장군","특별시도",3,129.285651,"1",50,NA
"15201","부산광역시","기장군","일반국도",3,129.209281,"1",60,NA
"15202","부산광역시","기장군","특별시도",3,129.189292,"1",70,NA
"15213","부산광역시","기장군","특별시도",3,129.177957,"2",50,NA
"15214","부산광역시","기장군","특별시도",3,129.186714,"2",50,NA
"15215","부산광역시","기장군","특별시도",3,129.172505,"2",60,NA
"15216","부산광역시","기장군","일반국도",3,129.209091,"1",60,NA
"15222","부산광역시","기장군","특별시도",3,129.257707,"1",50,NA
"15223","부산광역시","기장군","특별시도",3,129.251476,"1",50,NA
"15238","부산광역시","기장군","특별시도",3,129.066517,"2",50,NA
"15347","부산광역시","기장군","일반국도",3,129.236673,"1",70,NA
"15370","부산광역시","기장군","특별시도",3,129.169273,"1",70,NA
"15371","부산광역시","기장군","일반국도",3,129.220891,"1",60,NA
"15372","부산광역시","기장군","특별시도",3,129.179557,"1",50,NA
"15373","부산광역시","기장군","일반국도",3,129.221101,"2",60,NA
"15378","부산광역시","기장군","일반국도",3,129.224506,"2",60,NA
"15379","부산광역시","기장군","일반국도",3,129.252489,"1",80,NA
"15380","부산광역시","기장군","일반국도",3,129.246743,"1",80,NA
"15406","부산광역시","기장군","지방도",3,129.136862,"1",70,NA
"15407","부산광역시","기장군","일반국도",3,129.258283,"1",70,NA
"15410","부산광역시","기장군","일반국도",3,129.136654,"1",70,NA
"15412","부산광역시","기장군","특별시도",3,129.148155,"2",70,NA
"15419","부산광역시","기장군","특별시도",3,129.161316,"1",70,NA
"15426","부산광역시","기장군","일반국도",3,129.218015,"2",60,NA
"15469","부산광역시","기장군","일반국도",3,129.255822,"2",70,NA
"16777","부산광역시","기장군","일반국도",3,129.228184,"2",60,NA
"17843","부산광역시","기장군","기타",3,129.185942,"2",30,NA
"17844","부산광역시","기장군","기타",3,129.162668,"2",30,NA
"18246","부산광역시","기장군","일반국도",3,129.229611,"1",60,NA
"18247","부산광역시","기장군","일반국도",3,129.229422,"1",60,NA
"18248","부산광역시","기장군","일반국도",3,129.229422,"1",60,NA
"18249","부산광역시","기장군","일반국도",3,129.232771,"1",70,NA
"18531","부산광역시","기장군","일반국도",3,129.246277,"1",70,NA
