"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3404","강원도","동해시","고속국도",1,129.083064,"1",100,NA
"3435","강원도","동해시","일반국도",3,129.105028,"1",60,NA
"6007","강원도","동해시","시도",3,129.1156576,"1",60,NA
"7093","강원도","동해시","일반국도",3,129.1048238,"2",60,NA
"8959","강원도","동해시","시도",1,129.1128812,"4",0,NA
"11090","강원도","동해시","시도",3,129.1157086,"2",50,NA
"11091","강원도","동해시","시도",3,129.1156049,"2",50,NA
"11108","강원도","동해시","시도",3,129.119342,"1",60,NA
"11128","강원도","동해시","일반국도",3,129.1108156,"2",60,NA
"11129","강원도","동해시","일반국도",3,129.1104673,"2",60,NA
"13861","강원도","동해시","시도",1,129.1132531,"4",0,NA
"13862","강원도","동해시","시도",1,129.1133352,"4",0,NA
"13863","강원도","동해시","시도",1,129.1118766,"4",0,NA
"13864","강원도","동해시","시도",1,129.1151978,"4",0,NA
"13865","강원도","동해시","시도",1,129.1136471,"4",0,NA
"13866","강원도","동해시","시도",1,129.1158075,"4",0,NA
"13867","강원도","동해시","시도",1,129.1169288,"4",0,NA
"13886","강원도","동해시","시도",1,129.113568,"4",0,NA
"13887","강원도","동해시","시도",1,129.113568,"4",0,NA
"13888","강원도","동해시","시도",1,129.1136079,"4",0,NA
"13889","강원도","동해시","시도",1,129.1083366,"4",0,NA
"13890","강원도","동해시","시도",1,129.1055611,"4",0,NA
"13891","강원도","동해시","시도",1,129.1034091,"4",0,NA
"13892","강원도","동해시","시도",1,129.1168618,"4",0,NA
"16053","강원도","동해시","시도",3,129.1253741,"2",70,NA
"16061","강원도","동해시","일반국도",3,129.084966,"1",60,NA
"17821","강원도","동해시","시도",3,129.103334,"1",50,NA
"17822","강원도","동해시","일반국도",3,129.0984984,"1",60,NA
