"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5901","경상남도","김해시","시도",2,128.860605,"02",60,NA
"5902","경상남도","김해시","시도",1,128.871649,"02",50,NA
"5903","경상남도","김해시","지방도",2,128.930267,"02",30,NA
"5905","경상남도","김해시","지방도",1,128.982272,"01",30,NA
"6163","경상남도","김해시","일반국도",1,128.867086,"02",50,NA
"6164","경상남도","김해시","지방도",2,128.842875,"02",50,NA
"6307","경상남도","김해시","시도",1,128.912841,"02",50,NA
"6308","경상남도","김해시","시도",2,128.885601,"02",60,NA
"6309","경상남도","김해시","일반국도",1,128.734741,"02",60,NA
"6324","경상남도","김해시","시도",2,128.893388,"02",50,NA
"6325","경상남도","김해시","시도",2,128.716959,"02",60,NA
"6340","경상남도","김해시","지방도",2,128.754515,"01",60,NA
"6344","경상남도","김해시","시도",1,128.888749,"02",60,NA
"6346","경상남도","김해시","시도",2,128.707893,"02",50,NA
"6371","경상남도","김해시","시도",2,128.903898,"02",50,NA
"6388","경상남도","김해시","시도",2,128.897741,"01",50,NA
"6398","경상남도","김해시","일반국도",2,128.854165,"01",80,NA
"6523","경상남도","김해시","시도",2,128.788255,"02",60,NA
"6597","경상남도","김해시","시도",3,128.797783,"4",70,NA
"6598","경상남도","김해시","시도",3,128.831566,"4",0,NA
"6599","경상남도","김해시","시도",3,128.832298,"4",0,NA
"6600","경상남도","김해시","시도",3,128.813429,"4",0,NA
"6601","경상남도","김해시","시도",3,128.814909,"4",0,NA
"6602","경상남도","김해시","시도",3,128.837691,"4",0,NA
"6603","경상남도","김해시","시도",3,128.882504,"4",0,NA
"6604","경상남도","김해시","시도",3,128.878107,"4",0,NA
"6605","경상남도","김해시","시도",3,128.906026,"4",0,NA
"6606","경상남도","김해시","시도",3,128.863504,"4",0,NA
"6607","경상남도","김해시","시도",3,128.729502,"4",0,NA
"6608","경상남도","김해시","시도",3,128.734947,"4",0,NA
"6609","경상남도","김해시","시도",3,128.7257,"4",0,NA
"6610","경상남도","김해시","시도",3,128.882574,"4",0,NA
"6611","경상남도","김해시","시도",3,128.863778,"1",50,NA
"6612","경상남도","김해시","시도",3,128.847282,"1",30,NA
"6613","경상남도","김해시","시도",3,128.857845,"1",40,NA
"6614","경상남도","김해시","시도",3,128.861474,"1",40,NA
"6615","경상남도","김해시","시도",3,128.853484,"1",30,NA
"6616","경상남도","김해시","시도",3,128.764922,"1",30,NA
"6617","경상남도","김해시","시도",3,128.799686,"1",40,NA
"6618","경상남도","김해시","시도",3,128.819568,"1",30,NA
"6619","경상남도","김해시","시도",3,128.803432,"1",40,NA
"6620","경상남도","김해시","시도",3,128.735329,"1",30,NA
"6621","경상남도","김해시","시도",3,128.899292,"1",30,NA
"6624","경상남도","김해시","시도",3,128.815551,"4",40,NA
"6625","경상남도","김해시","시도",3,128.812788,"4",60,NA
"6626","경상남도","김해시","시도",3,128.814161,"4",0,NA
"6627","경상남도","김해시","시도",3,128.813944,"4",0,NA
"6628","경상남도","김해시","시도",3,128.807574,"4",40,NA
"6629","경상남도","김해시","시도",3,128.819786,"4",50,NA
"6630","경상남도","김해시","시도",3,128.805781,"4",30,NA
"6631","경상남도","김해시","시도",3,128.802688,"4",30,NA
"6632","경상남도","김해시","시도",3,128.811479,"4",0,NA
"6633","경상남도","김해시","시도",3,128.804474,"4",30,NA
"6634","경상남도","김해시","시도",3,128.79896,"4",30,NA
"6635","경상남도","김해시","시도",3,128.813339,"4",0,NA
"6636","경상남도","김해시","시도",3,128.817511,"4",60,NA
"6637","경상남도","김해시","시도",3,128.815751,"4",60,NA
"6638","경상남도","김해시","시도",3,128.808263,"4",30,NA
"6639","경상남도","김해시","시도",3,128.825505,"4",0,NA
"6640","경상남도","김해시","시도",3,128.824789,"4",50,NA
"6641","경상남도","김해시","시도",3,128.823333,"4",30,NA
"6642","경상남도","김해시","시도",3,128.825705,"4",30,NA
"6643","경상남도","김해시","시도",3,128.826888,"4",0,NA
"6644","경상남도","김해시","시도",3,128.823796,"4",50,NA
"6645","경상남도","김해시","시도",3,128.826098,"4",50,NA
"6646","경상남도","김해시","시도",3,128.827859,"4",30,NA
"6647","경상남도","김해시","시도",3,128.829727,"4",30,NA
"6648","경상남도","김해시","시도",3,128.831384,"4",0,NA
"6649","경상남도","김해시","시도",3,128.829185,"4",50,NA
"6675","경상남도","김해시","시도",3,128.910603,"4",0,NA
"6676","경상남도","김해시","시도",3,128.922429,"4",40,NA
"6677","경상남도","김해시","시도",3,128.885542,"4",0,NA
"6678","경상남도","김해시","시도",3,128.736758,"4",30,NA
"6679","경상남도","김해시","시도",3,128.867474,"4",50,NA
"6680","경상남도","김해시","시도",3,128.866523,"4",60,NA
"6681","경상남도","김해시","시도",3,128.864747,"4",0,NA
"6682","경상남도","김해시","시도",3,128.867164,"4",0,NA
"6683","경상남도","김해시","시도",3,128.871218,"4",0,NA
"6684","경상남도","김해시","시도",3,128.726984,"4",0,NA
"6685","경상남도","김해시","시도",3,128.884086,"4",0,NA
"6686","경상남도","김해시","시도",3,128.867403,"4",40,NA
