"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5536","전라남도","장흥군","군도",3,126.993482,"1",30,NA
"5537","전라남도","장흥군","군도",3,126.971006,"1",30,NA
"5538","전라남도","장흥군","군도",3,126.889501,"1",30,NA
"5539","전라남도","장흥군","군도",3,126.889506,"1",30,NA
"5540","전라남도","장흥군","군도",3,126.939597,"1",30,NA
"5541","전라남도","장흥군","군도",3,126.890297,"1",30,NA
"5542","전라남도","장흥군","군도",3,126.900037,"2",60,NA
"5543","전라남도","장흥군","일반국도",3,126.917588,"1",60,NA
"5544","전라남도","장흥군","일반국도",3,126.917588,"1",60,NA
"9421","전라남도","장흥군","일반국도",3,126.887448,"1",60,NA
"9422","전라남도","장흥군","일반국도",3,126.902088,"1",60,NA
"9438","전라남도","장흥군","일반국도",3,126.966873,"1",80,NA
"9523","전라남도","장흥군","일반국도",3,126.819114,"1",60,NA
"9584","전라남도","장흥군","군도",3,126.947151,"1",60,NA
"9609","전라남도","장흥군","군도",3,127.024435,"2",60,NA
"9679","전라남도","장흥군","일반국도",3,126.902447,"1",70,NA
"9722","전라남도","장흥군","고속국도",3,126.933859,"1",100,NA
"9744","전라남도","장흥군","일반국도",3,127.685524,"1",60,NA
"9785","전라남도","장흥군","일반국도",3,126.942846,"1",60,NA
"9829","전라남도","장흥군","일반국도",3,126.937951,"1",60,NA
"9830","전라남도","장흥군","일반국도",3,126.895983,"1",60,NA
"12963","전라남도","장흥군","일반국도",3,126.881459,"1",60,NA
"12964","전라남도","장흥군","군도",3,126.936851,"1",30,NA
"12965","전라남도","장흥군","일반국도",3,126.953414,"1",30,NA
"12966","전라남도","장흥군","일반국도",3,126.927166,"1",60,NA
"12967","전라남도","장흥군","군도",3,126.903041,"1",60,NA
"12968","전라남도","장흥군","일반국도",3,126.873842,"1",60,NA
