"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"480","충청남도","보령시","일반국도",2,126.63357,"1",30,NA
"572","충청남도","보령시","일반국도",2,126.570215,"2",80,NA
"627","충청남도","보령시","일반국도",1,126.689915,"1",70,NA
"826","충청남도","보령시","일반국도",1,126.653296,"1",60,NA
"827","충청남도","보령시","시도",2,126.583278,"2",50,NA
"836","충청남도","보령시","시도",2,126.607861,"1",50,NA
"879","충청남도","보령시","시도",1,126.60825,"2",50,NA
"880","충청남도","보령시","시도",1,126.602556,"1",50,NA
"904","충청남도","보령시","시도",1,126.583278,"2",50,NA
"905","충청남도","보령시","시도",1,126.620111,"2",70,NA
"916","충청남도","보령시","시도",1,126.547644,"2",70,NA
"917","충청남도","보령시","시도",2,126.547472,"2",70,NA
"918","충청남도","보령시","시도",1,126.578361,"2",70,NA
"919","충청남도","보령시","시도",2,126.577917,"1",70,NA
"920","충청남도","보령시","시도",1,126.559607,"1",70,NA
"977","충청남도","보령시","일반국도",2,126.600258,"1",80,NA
"978","충청남도","보령시","시도",2,126.602561,"1",50,NA
"979","충청남도","보령시","일반국도",1,126.591109,"2",50,NA
"1006","충청남도","보령시","시도",2,126.590995,"1",40,NA
"1064","충청남도","보령시","일반국도",1,126.593602,"2",80,NA
"1118","충청남도","보령시","지방도",2,126.52317,"2",70,NA
"1119","충청남도","보령시","시도",1,126.585806,"1",40,NA
"1120","충청남도","보령시","일반국도",1,126.58527,"1",80,NA
"1197","충청남도","보령시","일반국도",2,126.590752,"2",50,NA
"1218","충청남도","보령시","일반국도",2,126.613531,"2",50,NA
"1219","충청남도","보령시","일반국도",2,126.656462,"2",30,NA
"1220","충청남도","보령시","일반국도",1,126.656885,"2",30,NA
"1221","충청남도","보령시","일반국도",1,126.604458,"2",80,NA
"1229","충청남도","보령시","시도",1,126.59951,"2",30,NA
"1230","충청남도","보령시","시도",2,126.618216,"1",40,NA
"1267","충청남도","보령시","지방도",2,126.675871,"2",30,NA
"1412","충청남도","보령시","일반국도",1,126.601967,"1",70,NA
"1413","충청남도","보령시","일반국도",1,126.511892,"2",30,NA
"1414","충청남도","보령시","일반국도",2,126.584822,"2",80,NA
"1415","충청남도","보령시","시도",2,126.582101,"1",60,NA
"1431","충청남도","보령시","일반국도",2,126.593498,"2",80,NA
"1432","충청남도","보령시","일반국도",2,126.585748,"2",60,NA
"1433","충청남도","보령시","일반국도",1,126.494514,"1",60,NA
"1437","충청남도","보령시","일반국도",2,126.547111,"2",70,NA
"1461","충청남도","보령시","일반국도",2,126.604307,"1",70,NA
"1486","충청남도","보령시","일반국도",1,126.571806,"2",80,NA
"1662","충청남도","보령시","고속국도",1,126.567752,"1",110,NA
"1664","충청남도","보령시","고속국도",2,126.588102,"1",110,NA
"1680","충청남도","보령시","시도",1,126.645839,"1",30,NA
"1681","충청남도","보령시","시도",2,126.645839,"1",30,NA
"1682","충청남도","보령시","일반국도",2,126.592368,"1",30,NA
"1705","충청남도","보령시","시도",1,126.653241,"1",30,NA
"1706","충청남도","보령시","지방도",1,126.675347,"1",30,NA
"1707","충청남도","보령시","지방도",1,126.556932,"1",30,NA
"1708","충청남도","보령시","시도",1,126.610489,"1",30,NA
"1709","충청남도","보령시","지방도",2,126.657077,"1",60,NA
"1758","충청남도","보령시","시도",1,126.5846,"1",60,NA
"1759","충청남도","보령시","일반국도",2,126.604231,"2",50,NA
"1760","충청남도","보령시","일반국도",1,126.557635,"1",60,NA
"1761","충청남도","보령시","일반국도",2,126.557635,"1",60,NA
"1762","충청남도","보령시","시도",2,126.550515,"1",60,NA
"1763","충청남도","보령시","시도",2,126.53987,"1",30,NA
"1764","충청남도","보령시","시도",1,126.521707,"1",30,NA
"1774","충청남도","보령시","일반국도",1,126.54,"2",30,NA
"1775","충청남도","보령시","일반국도",2,126.5398,"1",30,NA
"1776","충청남도","보령시","시도",1,126.600448,"2",30,NA
"1777","충청남도","보령시","시도",1,126.614752,"2",30,NA
"1778","충청남도","보령시","지방도",1,126.524795,"2",30,NA
"1950","충청남도","보령시","일반국도",2,126.56543,"2",70,NA
"1951","충청남도","보령시","시도",1,126.618065,"1",40,NA
"2150","충청남도","보령시","지방도",2,126.536747,"1",60,NA
"2151","충청남도","보령시","시도",2,126.51956,"2",40,NA
"2152","충청남도","보령시","시도",2,126.54938,"1",60,NA
"18604","충청남도","보령시","시도",2,126.601239721,"4",0,NA
"18629","충청남도","보령시","시도",2,126.5933711,"4",0,NA
"18630","충청남도","보령시","시도",2,126.5947276,"4",0,NA
"18631","충청남도","보령시","시도",2,126.5968467,"4",0,NA
"18632","충청남도","보령시","시도",2,126.5962508,"4",0,NA
"18633","충청남도","보령시","시도",2,126.5984161,"4",0,NA
"18634","충청남도","보령시","시도",2,126.5977734,"4",0,NA
"18635","충청남도","보령시","시도",2,126.606256,"4",0,NA
"18636","충청남도","보령시","시도",2,126.6032623,"4",0,NA
"18637","충청남도","보령시","시도",2,126.5938536,"4",0,NA
"18638","충청남도","보령시","시도",2,126.588784,"4",0,NA
"18639","충청남도","보령시","일반국도",2,126.6017362,"4",0,NA
"18640","충청남도","보령시","일반국도",2,126.6042412,"4",0,NA
"18641","충청남도","보령시","시도",2,126.6128874,"4",0,NA
"18642","충청남도","보령시","시도",2,126.5857991,"4",0,NA
"18643","충청남도","보령시","시도",2,126.5919333,"4",0,NA
"18644","충청남도","보령시","시도",2,126.5940788,"4",0,NA
"18645","충청남도","보령시","시도",2,126.6082799,"4",0,NA
"18646","충청남도","보령시","일반국도",2,126.5864123615,"4",0,NA
"18647","충청남도","보령시","시도",2,126.6011199823,"4",0,NA
"18648","충청남도","보령시","시도",2,126.5841905342,"4",0,NA
"18649","충청남도","보령시","시도",2,126.600677215,"4",0,NA
"18650","충청남도","보령시","시도",2,126.614571275,"4",0,NA
"18651","충청남도","보령시","시도",2,126.6112955987,"4",0,NA
