"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"3461","강원도","원주","일반국도",3,127.890254,"1",70,NA
"3462","강원도","원주","일반국도",3,127.902082,"1",70,NA
"10151","강원도","원주","시도",3,127.880455,"2",60,NA
"10152","강원도","원주","시도",3,127.9860683,"2",30,NA
"10179","강원도","원주","시도",3,127.91666,"2",60,NA
"10180","강원도","원주","시도",3,127.939762,"2",50,NA
"13115","강원도","원주","일반국도",3,127.905212,"2",30,NA
"13119","강원도","원주","일반국도",3,127.956234,"2",60,NA
"13120","강원도","원주","일반국도",3,127.929516,"2",60,NA
"13124","강원도","원주","지방도",3,127.797102,"2",70,NA
"13125","강원도","원주","지방도",3,127.7829929,"1",60,NA
"19014","강원도","원주","시도",3,127.958401,"2",30,NA
"19015","강원도","원주","시도",3,127.822142,"2",30,NA
"19016","강원도","원주","지방도",3,127.958238,"1",30,NA
"19054","강원도","원주","시도",3,127.963786,"2",30,NA
"19055","강원도","원주","시도",3,127.950232,"2",30,NA
"19056","강원도","원주","시도",3,127.874735,"2",30,NA
"19057","강원도","원주","시도",3,127.9286905,"2",30,NA
"19058","강원도","원주","시도",3,127.958238,"2",30,NA
"19059","강원도","원주","시도",3,127.979558,"2",30,NA
"19060","강원도","원주","시도",3,127.822142,"2",30,NA
"19061","강원도","원주","시도",3,127.874735,"2",30,NA
