"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"490","충청남도","서산시","시도",1,126.453505,"2",60,NA
"491","충청남도","서산시","시도",2,126.453519,"2",60,NA
"528","충청남도","서산시","일반국도",1,126.476084,"1",50,NA
"568","충청남도","서산시","일반국도",1,126.439815,"2",80,NA
"592","충청남도","서산시","일반국도",2,126.484613,"2",60,NA
"842","충청남도","서산시","시도",2,126.447833,"2",40,NA
"843","충청남도","서산시","일반국도",1,126.44,"2",80,NA
"844","충청남도","서산시","일반국도",2,126.437083,"2",50,NA
"853","충청남도","서산시","지방도",2,126.458305,"2",70,NA
"854","충청남도","서산시","지방도",1,126.45695,"2",70,NA
"855","충청남도","서산시","일반국도",2,126.432122,"2",80,NA
"856","충청남도","서산시","일반국도",1,126.432122,"2",80,NA
"871","충청남도","서산시","시도",2,126.452417,"2",50,NA
"872","충청남도","서산시","일반국도",2,126.441917,"2",50,NA
"894","충청남도","서산시","일반국도",2,126.442092,"2",50,NA
"897","충청남도","서산시","지방도",1,126.549028,"1",70,NA
"898","충청남도","서산시","지방도",1,126.514347,"2",70,NA
"899","충청남도","서산시","지방도",2,126.514669,"2",70,NA
"923","충청남도","서산시","시도",1,126.450028,"2",30,NA
"924","충청남도","서산시","시도",2,126.450071,"2",30,NA
"933","충청남도","서산시","일반국도",1,126.464222,"2",50,NA
"934","충청남도","서산시","일반국도",2,126.579333,"2",70,NA
"1014","충청남도","서산시","일반국도",2,126.536131,"1",70,NA
"1015","충청남도","서산시","일반국도",1,126.357234,"1",80,NA
"1061","충청남도","서산시","일반국도",2,126.429863,"2",50,NA
"1062","충청남도","서산시","일반국도",1,126.430015,"2",50,NA
"1071","충청남도","서산시","일반국도",2,126.439096,"2",50,NA
"1072","충청남도","서산시","일반국도",2,126.439777,"2",80,NA
"1073","충청남도","서산시","일반국도",2,126.439867,"2",80,NA
"1105","충청남도","서산시","지방도",2,126.475301,"2",70,NA
"1107","충청남도","서산시","일반국도",2,126.440058,"1",80,NA
"1187","충청남도","서산시","일반국도",1,126.534649,"2",80,NA
"1188","충청남도","서산시","시도",2,126.461053,"2",30,NA
"1189","충청남도","서산시","시도",1,126.441663,"1",40,NA
"1228","충청남도","서산시","일반국도",1,126.4401,"2",80,NA
"1258","충청남도","서산시","시도",1,126.446077,"2",40,NA
"1259","충청남도","서산시","일반국도",2,126.399968,"1",80,NA
"1260","충청남도","서산시","일반국도",1,126.537452,"1",80,NA
"1261","충청남도","서산시","시도",2,126.4653,"2",40,NA
"1262","충청남도","서산시","시도",1,126.472125,"2",60,NA
"1263","충청남도","서산시","시도",2,126.472328,"2",60,NA
"1264","충청남도","서산시","일반국도",2,126.492077,"2",60,NA
"1265","충청남도","서산시","시도",1,126.502329,"2",60,NA
"1266","충청남도","서산시","시도",2,126.502351,"2",60,NA
"1276","충청남도","서산시","일반국도",1,126.365869,"2",60,NA
"1277","충청남도","서산시","일반국도",2,126.365458,"2",69,NA
"1278","충청남도","서산시","지방도",2,126.500101,"2",50,NA
"1293","충청남도","서산시","일반국도",2,126.44173,"2",80,NA
"1416","충청남도","서산시","시도",2,126.443694,"1",50,NA
"1417","충청남도","서산시","시도",1,126.437077,"1",50,NA
"1443","충청남도","서산시","지방도",1,126.509849,"2",50,NA
"1444","충청남도","서산시","시도",2,126.471665,"2",60,NA
"1448","충청남도","서산시","일반국도",2,126.535117,"2",80,NA
"1449","충청남도","서산시","시도",2,126.440161,"2",40,NA
"1466","충청남도","서산시","시도",1,126.452083,"2",50,NA
"1655","충청남도","서산시","시도",2,126.4468,"2",30,NA
"1656","충청남도","서산시","시도",1,126.4468,"2",30,NA
"1657","충청남도","서산시","시도",2,126.4554,"2",30,NA
"1658","충청남도","서산시","시도",1,126.4554,"1",30,NA
"1659","충청남도","서산시","시도",1,126.4438,"2",30,NA
"1660","충청남도","서산시","시도",2,126.444115,"2",30,NA
"1661","충청남도","서산시","시도",1,126.468279,"2",30,NA
"1665","충청남도","서산시","고속국도",2,126.568891,"1",110,NA
"1702","충청남도","서산시","일반국도",1,126.4402,"2",80,NA
"1703","충청남도","서산시","일반국도",2,126.4402,"2",80,NA
"1704","충청남도","서산시","시도",2,126.463,"2",30,NA
"1757","충청남도","서산시","시도",1,126.4611,"2",30,NA
"1834","충청남도","서산시","일반국도",1,126.45225,"2",50,NA
"1835","충청남도","서산시","일반국도",2,126.452454,"2",50,NA
"1836","충청남도","서산시","일반국도",2,126.486352,"2",60,NA
"1837","충청남도","서산시","일반국도",1,126.579907,"2",70,NA
"1838","충청남도","서산시","일반국도",2,126.518741,"2",80,NA
"1839","충청남도","서산시","일반국도",1,126.518741,"2",80,NA
"1840","충청남도","서산시","일반국도",1,126.464045,"2",50,NA
"1841","충청남도","서산시","일반국도",1,126.472165,"2",50,NA
"1842","충청남도","서산시","일반국도",2,126.472308,"2",50,NA
"1941","충청남도","서산시","일반국도",2,126.515448,"2",80,NA
"1942","충청남도","서산시","일반국도",1,126.515134,"2",80,NA
"1959","충청남도","서산시","일반국도",2,126.4604,"2",50,NA
"1960","충청남도","서산시","일반국도",1,126.4602,"2",50,NA
"1961","충청남도","서산시","일반국도",1,126.4678,"2",50,NA
"1962","충청남도","서산시","일반국도",2,126.468,"2",50,NA
"1963","충청남도","서산시","시도",2,126.4421,"2",40,NA
"1964","충청남도","서산시","시도",1,126.4423,"2",40,NA
"1965","충청남도","서산시","일반국도",1,126.4329,"2",50,NA
"1966","충청남도","서산시","일반국도",2,126.4329,"2",50,NA
"1967","충청남도","서산시","일반국도",1,126.442052,"2",70,NA
"1968","충청남도","서산시","일반국도",1,126.4751,"1",50,NA
"1969","충청남도","서산시","일반국도",1,126.4362,"1",50,NA
"1970","충청남도","서산시","시도",1,126.4404,"1",60,NA
"1971","충청남도","서산시","시도",2,126.4384,"1",60,NA
"1972","충청남도","서산시","일반국도",2,126.442395,"1",70,NA
"1973","충청남도","서산시","일반국도",1,126.442751,"1",70,NA
"1974","충청남도","서산시","시도",2,126.461871,"2",30,NA
"1975","충청남도","서산시","시도",1,126.46157,"2",30,NA
"3978","충청남도","서산시","기타",2,126.472125,"2",80,NA
"3979","충청남도","서산시","기타",2,126.472328,"2",80,NA
"3980","충청남도","서산시","일반국도",2,126.492077,"2",60,NA
"3981","충청남도","서산시","기타",2,126.502329,"2",80,NA
"3982","충청남도","서산시","기타",2,126.502351,"2",80,NA
"3983","충청남도","서산시","일반국도",2,NA,"2",80,NA
"3984","충청남도","서산시","일반국도",2,126.534649,"2",80,NA
"3985","충청남도","서산시","기타",2,126.461053,"2",30,NA
"3986","충청남도","서산시","기타",1,126.441663,"1",50,NA
"3987","전라북도","서산시","고속국도",3,126.5688908,"1",110,NA
"4007","충청남도","서산시","기타",2,126.514669,"2",70,NA
"4008","충청남도","서산시","기타",2,126.452417,"2",50,NA
"4009","충청남도","서산시","일반국도",2,126.441917,"2",60,NA
"4010","충청남도","서산시","일반국도",2,126.442092,"2",60,NA
"4011","충청남도","서산시","기타",2,126.447833,"2",40,NA
"4012","충청남도","서산시","일반국도",2,NA,"2",80,NA
"4013","충청남도","서산시","일반국도",2,126.437083,"2",80,NA
"4014","충청남도","서산시","기타",2,126.458305,"2",70,NA
"4015","충청남도","서산시","기타",2,NA,"2",70,NA
"4016","충청남도","서산시","일반국도",2,126.432122,"2",80,NA
"4017","충청남도","서산시","일반국도",2,126.432122,"2",80,NA
"4018","충청남도","서산시","기타",2,126.452083,"2",50,NA
"4019","충청남도","서산시","기타",2,126.509849,"2",50,NA
"4020","충청남도","서산시","기타",2,126.471665,"2",80,NA
"4021","충청남도","서산시","일반국도",2,126.535117,"2",70,NA
"4022","충청남도","서산시","기타",2,126.440161,"2",50,NA
"4023","충청남도","서산시","기타",1,126.443694,"1",50,NA
"4024","충청남도","서산시","기타",1,126.437077,"1",50,NA
"4025","충청남도","서산시","일반국도",2,NA,"2",80,NA
"4026","충청남도","서산시","일반국도",2,126.365869,"2",80,NA
"4027","충청남도","서산시","일반국도",2,126.365458,"2",80,NA
"4028","충청남도","서산시","기타",2,126.500101,"2",50,NA
"4029","충청남도","서산시","기타",2,126.446077,"2",40,NA
"4030","충청남도","서산시","일반국도",1,126.399968,"1",80,NA
"4031","충청남도","서산시","일반국도",1,126.537452,"1",80,NA
"4032","충청남도","서산시","기타",2,NA,"2",30,NA
"4034","충청남도","서산시","기타",1,126.485527,"99",60,NA
"4035","충청남도","서산시","일반국도",1,126.512434,"99",60,NA
"4036","충청남도","서산시","일반국도",2,126.512434,"99",60,NA
"4037","충청남도","서산시","일반국도",2,126.579933,"99",60,NA
"4038","충청남도","서산시","일반국도",2,126.467222,"2",60,NA
"4039","충청남도","서산시","일반국도",2,NA,"2",60,NA
"4040","충청남도","서산시","일반국도",1,126.421389,"1",80,NA
"4041","충청남도","서산시","일반국도",2,126.435253,"2",60,NA
"4042","충청남도","서산시","일반국도",2,126.484613,"2",60,NA
"4043","충청남도","서산시","일반국도",1,126.476084,"1",60,NA
"4044","충청남도","서산시","일반국도",2,126.439815,"2",80,NA
"4045","충청남도","서산시","기타",2,126.453505,"2",80,NA
"4046","충청남도","서산시","기타",2,126.453519,"2",80,NA
"4047","충청남도","서산시","기타",2,126.475301,"2",70,NA
"4048","충청남도","서산시","일반국도",1,126.440058,"1",80,NA
"4049","충청남도","서산시","일반국도",2,126.429863,"2",50,NA
"4050","충청남도","서산시","일반국도",2,126.430015,"2",50,NA
"4051","충청남도","서산시","일반국도",2,126.439096,"2",60,NA
"4052","충청남도","서산시","일반국도",2,126.439777,"2",80,NA
"4053","충청남도","서산시","일반국도",2,126.439867,"2",80,NA
"4054","충청남도","서산시","일반국도",1,126.536131,"1",80,NA
"4055","충청남도","서산시","일반국도",1,126.357234,"1",80,NA
"4056","충청남도","서산시","기타",2,126.450028,"2",30,NA
"4057","충청남도","서산시","기타",2,126.450071,"2",30,NA
"4058","충청남도","서산시","일반국도",2,126.464222,"2",60,NA
"4059","충청남도","서산시","일반국도",2,126.579333,"2",80,NA
"4060","충청남도","서산시","기타",1,126.549028,"1",70,NA
"4061","충청남도","서산시","기타",2,126.514347,"2",70,NA
"4062","충청남도","서산시","기타",1,126.499858,"99",70,NA
"4063","충청남도","서산시","기타",1,126.467065,"99",80,NA
"4064","충청남도","서산시","일반국도",2,126.535358,"99",80,NA
"4065","충청남도","서산시","지방도",3,126.436125,"99",50,NA
"4066","충청남도","서산시","지방도",1,126.433212,"1",50,NA
"4067","충청남도","서산시","지방도",1,126.433654,"1",50,NA
"4068","충청남도","서산시","일반국도",2,NA,"99",80,NA
"4069","충청남도","서산시","일반국도",3,126.365858,"99",80,NA
"4070","충청남도","서산시","일반국도",3,126.365453,"99",80,NA
"4071","충청남도","서산시","기타",3,126.500311,"99",50,NA
"4072","충청남도","서산시","기타",3,NA,"99",40,NA
"4073","충청남도","서산시","지방도",1,126.445889,"99",40,NA
"4074","충청남도","서산시","일반국도",2,126.533978,"99",80,NA
"4075","충청남도","서산시","일반국도",1,126.389001,"99",80,NA
"4076","충청남도","서산시","기타",1,126.485973,"99",60,NA
"4077","충청남도","서산시","기타",1,126.479861,"99",80,NA
"4078","충청남도","서산시","기타",2,126.479895,"99",80,NA
"4079","충청남도","서산시","기타",1,126.472134,"99",80,NA
"4080","충청남도","서산시","기타",1,126.472134,"99",80,NA
"4081","충청남도","서산시","일반국도",1,126.440129,"99",80,NA
"4082","충청남도","서산시","일반국도",2,126.535358,"99",80,NA
"4083","충청남도","서산시","시도",2,126.4602697,"99",30,NA
"4084","충청남도","서산시","시도",1,126.442012,"99",50,NA
"4085","충청남도","서산시","기타",1,NA,"99",60,NA
"4086","충청남도","서산시","기타",2,NA,"99",60,NA
"4087","충청남도","서산시","기타",2,NA,"99",60,NA
"4088","충청남도","서산시","기타",2,NA,"99",60,NA
"4089","충청남도","서산시","기타",2,126.464034,"99",60,NA
"4091","충청남도","서산시","기타",2,126.475215,"99",70,NA
"4092","충청남도","서산시","일반국도",2,126.440039,"1",80,NA
"4093","충청남도","서산시","일반국도",2,126.429853,"99",80,NA
"4094","충청남도","서산시","일반국도",1,126.429853,"99",80,NA
"4095","충청남도","서산시","일반국도",2,126.438597,"99",60,NA
"4096","충청남도","서산시","일반국도",2,NA,"99",80,NA
"4097","충청남도","서산시","일반국도",2,126.440131,"99",80,NA
"4098","충청남도","서산시","일반국도",2,126.358177,"1",80,NA
"4099","충청남도","서산시","일반국도",2,126.537904,"1",70,NA
"4100","충청남도","서산시","기타",2,126.449951,"99",30,NA
"4101","충청남도","서산시","기타",1,126.449951,"99",30,NA
"4102","충청남도","서산시","일반국도",1,126.579418,"99",80,NA
"4103","충청남도","서산시","일반국도",1,126.464224,"99",60,NA
"4104","충청남도","서산시","기타",1,126.550229,"1",70,NA
"4105","충청남도","서산시","기타",1,126.514426,"99",70,NA
"4106","충청남도","서산시","기타",2,126.514426,"99",70,NA
"4107","충청남도","서산시","일반국도",2,126.442032,"99",60,NA
"4108","충청남도","서산시","기타",2,126.447967,"99",50,NA
"4109","충청남도","서산시","일반국도",2,126.440007,"99",80,NA
"4110","충청남도","서산시","일반국도",1,NA,"99",50,NA
"4111","충청남도","서산시","기타",2,126.457343,"99",70,NA
"4112","충청남도","서산시","기타",1,126.457343,"99",70,NA
"4113","충청남도","서산시","일반국도",2,126.431853,"99",80,NA
"4114","충청남도","서산시","일반국도",1,126.431853,"99",80,NA
"4115","충청남도","서산시","일반국도",1,126.442032,"99",60,NA
"4116","충청남도","서산시","시도",2,126.452335,"99",60,NA
"4117","충청남도","서산시","기타",1,NA,"99",50,NA
"4141","충청남도","서산시","일반국도",2,126.435232,"99",60,NA
"4142","충청남도","서산시","일반국도",2,126.484188,"99",60,NA
"4143","충청남도","서산시","일반국도",1,126.475699,"1",60,NA
"4144","충청남도","서산시","일반국도",1,NA,"99",80,NA
"4145","충청남도","서산시","시도",2,126.453138,"99",80,NA
"4146","충청남도","서산시","시도",1,126.453352,"99",80,NA
