"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2435","부산광역시","사상구","기타",3,128.984827,"2",30,NA
"5998","부산광역시","사상구","특별시도",3,128.985975,"2",50,NA
"8875","부산광역시","사상구","기타",3,128.973782,"2",30,NA
"8876","부산광역시","사상구","기타",3,129.001618,"2",30,NA
"8882","부산광역시","사상구","특별시도",3,128.986667,"2",50,NA
"8904","부산광역시","사상구","기타",3,128.973202,"2",30,NA
"8905","부산광역시","사상구","기타",3,129.006246,"2",30,NA
"11250","부산광역시","사상구","기타",3,128.981666,"2",30,NA
"11251","부산광역시","사상구","기타",3,128.988984,"2",30,NA
"11252","부산광역시","사상구","특별시도",3,128.985653,"2",30,NA
"14770","부산광역시","사상구","특별시도",3,128.976739,"1",50,NA
"14790","부산광역시","사상구","기타",3,128.983848,"2",30,NA
"14791","부산광역시","사상구","기타",3,128.978938,"2",30,NA
"15013","부산광역시","사상구","특별시도",3,128.991009,"1",50,NA
"15027","부산광역시","사상구","특별시도",3,128.987696,"2",50,NA
"15137","부산광역시","사상구","특별시도",3,128.995308,"2",50,NA
"15191","부산광역시","사상구","특별시도",3,128.970193,"2",50,NA
"15192","부산광역시","사상구","특별시도",3,128.963541,"2",70,NA
"15226","부산광역시","사상구","특별시도",3,129.009087,"1",50,NA
"15228","부산광역시","사상구","특별시도",3,128.990413,"1",30,NA
"15231","부산광역시","사상구","특별시도",3,128.976156,"1",50,NA
"15232","부산광역시","사상구","특별시도",3,129.008884,"1",50,NA
"15244","부산광역시","사상구","특별시도",3,128.976879,"2",50,NA
"15357","부산광역시","사상구","특별시도",3,128.988592,"1",50,NA
"15358","부산광역시","사상구","특별시도",3,128.988435,"1",50,NA
"15359","부산광역시","사상구","특별시도",3,128.975255,"1",80,NA
"15364","부산광역시","사상구","특별시도",3,128.994396,"2",50,NA
"15402","부산광역시","사상구","특별시도",3,128.993341,"1",50,NA
"15417","부산광역시","사상구","특별시도",3,128.987259,"1",80,NA
"15421","부산광역시","사상구","특별시도",3,128.989446,"2",50,NA
"15441","부산광역시","사상구","특별시도",3,128.975682,"1",80,NA
"15442","부산광역시","사상구","특별시도",3,128.975906,"2",80,NA
"15447","부산광역시","사상구","특별시도",3,128.983835,"2",50,NA
"15449","부산광역시","사상구","특별시도",3,128.988639,"2",50,NA
"15450","부산광역시","사상구","특별시도",3,128.976804,"2",50,NA
"15472","부산광역시","사상구","특별시도",3,128.999821,"2",50,NA
"15473","부산광역시","사상구","특별시도",3,128.989078,"2",50,NA
"15474","부산광역시","사상구","특별시도",3,128.983896,"2",50,NA
"15487","부산광역시","사상구","특별시도",3,128.992209,"1",50,NA
"15492","부산광역시","사상구","특별시도",3,128.980358,"2",50,NA
"15501","부산광역시","사상구","특별시도",3,128.983731,"2",50,NA
"16775","부산광역시","사상구","특별시도",3,128.982213,"1",70,NA
"16776","부산광역시","사상구","특별시도",3,128.982213,"1",70,NA
"17173","부산광역시","사상구","특별시도",3,129.005983,"2",50,NA
"18087","부산광역시","사상구","시도",3,128.9839311,"4",50,NA
"18088","부산광역시","사상구","시도",3,128.9834013,"4",50,NA
"18089","부산광역시","사상구","시도",3,128.9907673,"4",50,NA
"18090","부산광역시","사상구","시도",3,128.9660855,"4",50,NA
"18091","부산광역시","사상구","구도",3,128.9793082,"4",30,NA
"18092","부산광역시","사상구","시도",3,128.9701667,"4",50,NA
"18093","부산광역시","사상구","시도",3,128.9869746,"4",50,NA
"18094","부산광역시","사상구","시도",3,128.9829215,"4",50,NA
"18095","부산광역시","사상구","시도",3,128.9831375,"4",50,NA
"18096","부산광역시","사상구","시도",3,128.9961329,"4",50,NA
"18097","부산광역시","사상구","시도",3,128.9643755,"4",50,NA
"18098","부산광역시","사상구","시도",3,128.9886253,"4",50,NA
"18099","부산광역시","사상구","구도",3,128.9744022,"4",30,NA
"18100","부산광역시","사상구","구도",3,128.9748465,"4",30,NA
"18101","부산광역시","사상구","시도",3,128.9809876,"4",50,NA
"18102","부산광역시","사상구","시도",3,128.9816066,"4",50,NA
"18103","부산광역시","사상구","시도",3,128.9860903,"4",50,NA
"18104","부산광역시","사상구","시도",3,128.966048,"4",50,NA
"18105","부산광역시","사상구","구도",3,128.9780991,"4",30,NA
"18106","부산광역시","사상구","시도",3,129.0128473,"4",50,NA
"18107","부산광역시","사상구","구도",3,129.0157343,"4",30,NA
"18537","부산광역시","사상구","특별시도",3,129.006316,"2",50,NA
