"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5300","전라남도","화순군","군도",3,126.984348,"4",0,NA
"5301","전라남도","화순군","군도",3,126.9925127,"4",0,NA
"5302","전라남도","화순군","군도",3,126.992504,"4",0,NA
"5303","전라남도","화순군","군도",3,126.985889,"4",0,NA
"5304","전라남도","화순군","군도",3,126.986748,"4",0,NA
"5305","전라남도","화순군","군도",3,126.990271,"4",0,NA
"5306","전라남도","화순군","군도",3,126.992491,"4",0,NA
"5307","전라남도","화순군","군도",3,126.990226,"4",0,NA
"5308","전라남도","화순군","군도",3,126.9833399,"4",0,NA
"5309","전라남도","화순군","군도",3,126.990135,"4",0,NA
"5310","전라남도","화순군","군도",3,126.990294,"4",0,NA
"5311","전라남도","화순군","군도",3,126.9924577,"4",0,NA
"5312","전라남도","화순군","군도",3,126.981562,"4",0,NA
"5313","전라남도","화순군","군도",3,126.985848,"4",0,NA
"5545","전라남도","화순군","군도",3,127.066675,"1",30,NA
"8010","전라남도","화순군","군도",3,126.965802,"2",30,NA
"8011","전라남도","화순군","지방도",3,126.939201,"2",70,NA
"8012","전라남도","화순군","일반국도",3,126.993569,"2",80,NA
"8013","전라남도","화순군","일반국도",3,127.025379,"2",80,NA
"8014","전라남도","화순군","군도",3,127.042856,"1",30,NA
"8015","전라남도","화순군","지방도",3,126.959558,"1",30,NA
"8016","전라남도","화순군","지방도",3,126.892441,"1",30,NA
"8017","전라남도","화순군","군도",3,126.987981,"1",30,NA
"8018","전라남도","화순군","군도",3,127.133928,"1",30,NA
"8019","전라남도","화순군","군도",3,127.093507,"1",30,NA
"8035","전라남도","화순군","군도",3,126.994653,"1",30,NA
"8036","전라남도","화순군","군도",3,126.992589,"1",30,NA
"8037","전라남도","화순군","군도",3,126.988033,"2",50,NA
"8038","전라남도","화순군","지방도",3,126.920514,"2",70,NA
"8039","전라남도","화순군","지방도",3,126.906348,"1",60,NA
"9420","전라남도","화순군","지방도",3,126.900311,"1",60,NA
"9440","전라남도","화순군","지방도",3,126.905365,"2",70,NA
"9526","전라남도","화순군","지방도",3,126.907315,"1",60,NA
"9564","전라남도","화순군","지방도",3,126.910767,"2",70,NA
"9565","전라남도","화순군","지방도",3,126.942717,"1",70,NA
"9684","전라남도","화순군","일반국도",3,127.087764,"1",60,NA
"9685","전라남도","화순군","일반국도",3,126.951439,"1",80,NA
"9686","전라남도","화순군","일반국도",3,126.993038,"1",80,NA
"9719","전라남도","화순군","지방도",3,126.914354,"1",60,NA
"9832","전라남도","화순군","일반국도",3,126.972979,"1",80,NA
"9833","전라남도","화순군","일반국도",3,127.032352,"1",80,NA
"9834","전라남도","화순군","일반국도",3,126.975859,"1",80,NA
