"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"481","충청남도","홍성군","일반국도",1,126.735056,"2",80,NA
"482","충청남도","홍성군","일반국도",1,126.655233,"2",60,NA
"483","충청남도","홍성군","지방도",1,126.664963,"2",60,NA
"574","충청남도","홍성군","일반국도",2,126.58365,"2",80,NA
"578","충청남도","홍성군","일반국도",1,126.617091,"2",80,NA
"838","충청남도","홍성군","일반국도",2,126.738694,"2",70,NA
"845","충청남도","홍성군","지방도",1,126.660082,"2",50,NA
"884","충청남도","홍성군","지방도",1,126.678932,"2",50,NA
"970","충청남도","홍성군","지방도",2,126.592111,"1",60,NA
"971","충청남도","홍성군","일반국도",1,126.710595,"2",80,NA
"996","충청남도","홍성군","일반국도",1,126.544872,"2",80,NA
"997","충청남도","홍성군","일반국도",2,126.54472,"2",80,NA
"998","충청남도","홍성군","시도",2,126.526892,"2",60,NA
"999","충청남도","홍성군","시도",1,126.526887,"2",60,NA
"1000","충청남도","홍성군","지방도",1,126.725043,"2",60,NA
"1001","충청남도","홍성군","지방도",2,126.725006,"2",60,NA
"1002","충청남도","홍성군","지방도",1,126.665916,"2",60,NA
"1003","충청남도","홍성군","일반국도",2,126.61698,"2",80,NA
"1004","충청남도","홍성군","군도",1,126.631755,"1",50,NA
"1005","충청남도","홍성군","군도",2,126.630475,"1",50,NA
"1021","충청남도","홍성군","일반국도",2,126.625038,"1",80,NA
"1065","충청남도","홍성군","일반국도",2,126.547636,"2",60,NA
"1124","충청남도","홍성군","일반국도",2,126.693168,"2",80,NA
"1125","충청남도","홍성군","일반국도",1,126.626355,"1",80,NA
"1126","충청남도","홍성군","지방도",2,126.662979,"1",50,NA
"1167","충청남도","홍성군","지방도",2,126.653666,"1",50,NA
"1168","충청남도","홍성군","군도",2,126.669683,"2",50,NA
"1169","충청남도","홍성군","군도",1,126.643831,"2",50,NA
"1170","충청남도","홍성군","일반국도",1,126.739278,"2",70,NA
"1171","충청남도","홍성군","지방도",1,126.666902,"2",50,NA
"1200","충청남도","홍성군","일반국도",2,126.583587,"2",80,NA
"1201","충청남도","홍성군","일반국도",2,126.649482,"1",80,NA
"1302","충청남도","홍성군","일반국도",2,126.49161,"1",50,NA
"1303","충청남도","홍성군","지방도",2,126.664436,"2",60,NA
"1953","충청남도","홍성군","군도",2,126.67968,"2",50,NA
