"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"576","충청남도","부여군","일반국도",2,127.001721,"1",80,NA
"580","충청남도","부여군","일반국도",2,126.955961,"1",80,NA
"819","충청남도","부여군","군도",2,126.922889,"2",50,NA
"820","충청남도","부여군","일반국도",2,126.894722,"1",60,NA
"841","충청남도","부여군","군도",2,126.886972,"2",50,NA
"846","충청남도","부여군","지방도",1,126.884361,"1",60,NA
"887","충청남도","부여군","군도",1,126.903639,"2",60,NA
"888","충청남도","부여군","지방도",2,126.926389,"1",60,NA
"893","충청남도","부여군","고속국도",2,126.49211,"1",110,NA
"983","충청남도","부여군","지방도",2,126.967249,"1",60,NA
"984","충청남도","부여군","일반국도",1,126.90796,"1",80,NA
"1024","충청남도","부여군","일반국도",2,126.760492,"2",80,NA
"1050","충청남도","부여군","일반국도",2,126.741401,"2",80,NA
"1051","충청남도","부여군","일반국도",1,126.765777,"1",80,NA
"1154","충청남도","부여군","일반국도",1,126.770152,"1",60,NA
"1160","충청남도","부여군","군도",1,126.915449,"1",30,NA
"1174","충청남도","부여군","군도",1,126.9209,"1",50,NA
"1175","충청남도","부여군","군도",1,126.9172,"1",40,NA
"1313","충청남도","부여군","일반국도",1,127.057638,"1",50,NA
"1314","충청남도","부여군","일반국도",2,126.859809,"1",80,NA
"1455","충청남도","부여군","일반국도",2,126.787679,"1",80,NA
"1456","충청남도","부여군","일반국도",2,126.869355,"1",60,NA
"1457","충청남도","부여군","일반국도",2,126.879614,"1",60,NA
"1458","충청남도","부여군","일반국도",2,126.937418,"1",50,NA
"1459","충청남도","부여군","일반국도",2,126.845843,"1",60,NA
"1460","충청남도","부여군","일반국도",1,126.882966,"1",80,NA
"1624","충청남도","부여군","지방도",2,126.8937,"1",30,NA
"1625","충청남도","부여군","군도",2,127.0239,"1",30,NA
"1626","충청남도","부여군","일반국도",2,126.8556,"1",30,NA
"1627","충청남도","부여군","군도",1,126.9465,"1",30,NA
"1628","충청남도","부여군","지방도",1,126.7158,"1",30,NA
"1724","충청남도","부여군","군도",2,126.8814,"1",30,NA
"1725","충청남도","부여군","군도",2,126.9285,"1",30,NA
"1726","충청남도","부여군","군도",2,126.9163,"2",30,NA
"1905","충청남도","부여군","일반국도",1,126.760704,"2",80,NA
"1929","충청남도","부여군","시도",1,126.8795,"1",30,NA
"1930","충청남도","부여군","지방도",1,126.8938,"1",30,NA
"1931","충청남도","부여군","시도",1,126.9014,"1",50,NA
"1932","충청남도","부여군","시도",1,126.9037,"1",50,NA
"1933","충청남도","부여군","일반국도",1,126.8557,"1",30,NA
"1978","충청남도","부여군","시도",2,126.9233,"1",30,NA
"2129","충청남도","부여군","군도",2,126.7786,"1",30,NA
"2130","충청남도","부여군","일반국도",2,126.8156,"1",30,NA
"2131","충청남도","부여군","군도",1,126.9903,"1",30,NA
"2132","충청남도","부여군","군도",2,127.001,"1",30,NA
"2133","충청남도","부여군","군도",1,126.923,"1",30,NA
"2134","충청남도","부여군","군도",2,126.8455,"1",30,NA
"2135","충청남도","부여군","일반국도",1,126.8581,"1",30,NA
"2136","충청남도","부여군","군도",1,126.8145,"1",30,NA
"2137","충청남도","부여군","군도",1,126.9575,"1",30,NA
"2138","충청남도","부여군","지방도",2,126.8389,"1",30,NA
"2139","충청남도","부여군","지방도",1,126.9759,"1",60,NA
