"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"732","부산광역시","부산진구","기타",3,129.020055,"2",30,NA
"786","부산광역시","부산진구","기타",3,129.061587,"2",30,NA
"2434","부산광역시","부산진구","특별시도",3,129.076746,"2",50,NA
"5995","부산광역시","부산진구","일반국도",3,129.063759,"2",50,NA
"7757","부산광역시","부산진구","기타",3,129.068543,"1",30,NA
"8863","부산광역시","부산진구","특별시도",3,129.069312,"2",50,NA
"8864","부산광역시","부산진구","기타",3,129.068319,"2",30,NA
"8865","부산광역시","부산진구","기타",3,129.046969,"2",30,NA
"8870","부산광역시","부산진구","기타",3,129.031278,"2",30,NA
"8886","부산광역시","부산진구","기타",3,129.044318,"1",30,NA
"8887","부산광역시","부산진구","기타",3,129.024304,"1",30,NA
"8888","부산광역시","부산진구","기타",3,129.035953,"1",30,NA
"8889","부산광역시","부산진구","특별시도",3,129.055514,"1",50,NA
"8897","부산광역시","부산진구","기타",3,129.055345,"2",30,NA
"8898","부산광역시","부산진구","기타",3,129.030711,"2",30,NA
"8902","부산광역시","부산진구","특별시도",3,129.048551,"2",50,NA
"8916","부산광역시","부산진구","기타",3,129.027341,"2",30,NA
"8917","부산광역시","부산진구","기타",3,129.068453,"2",30,NA
"11235","부산광역시","부산진구","특별시도",3,129.050396,"2",50,NA
"11730","부산광역시","부산진구","특별시도",3,129.050809,"1",50,NA
"12117","부산광역시","부산진구","시도",3,129.0612394,"3",0,30
"12118","부산광역시","부산진구","시도",3,129.0587792,"3",0,30
"12119","부산광역시","부산진구","시도",3,129.0605662,"3",0,30
"12129","부산광역시","부산진구","시도",3,129.056404,"3",0,30
"12130","부산광역시","부산진구","시도",3,129.0559941,"3",0,30
"12165","부산광역시","부산진구","시도",3,129.0595552,"3",0,30
"12166","부산광역시","부산진구","시도",3,129.0647047,"3",0,30
"12167","부산광역시","부산진구","시도",3,129.0655436,"3",0,30
"14769","부산광역시","부산진구","특별시도",3,129.028497,"1",60,NA
"14774","부산광역시","부산진구","특별시도",3,129.054037,"2",50,NA
"14828","부산광역시","부산진구","특별시도",3,129.052647,"2",50,NA
"14829","부산광역시","부산진구","기타",3,129.039603,"2",30,NA
"15154","부산광역시","부산진구","일반국도",3,129.067537,"1",50,NA
"15185","부산광역시","부산진구","특별시도",3,129.055518,"2",50,NA
"15186","부산광역시","부산진구","특별시도",3,129.065179,"2",50,NA
"15187","부산광역시","부산진구","특별시도",3,129.040441,"2",50,NA
"15353","부산광역시","부산진구","특별시도",3,129.045021,"1",50,NA
"15354","부산광역시","부산진구","특별시도",3,129.030702,"1",50,NA
"15374","부산광역시","부산진구","특별시도",3,129.045584,"2",50,NA
"15390","부산광역시","부산진구","특별시도",3,129.052326,"1",50,NA
"15428","부산광역시","부산진구","특별시도",3,129.026028,"1",50,NA
"15445","부산광역시","부산진구","특별시도",3,129.020571,"2",50,NA
"15454","부산광역시","부산진구","특별시도",3,129.068781,"1",50,NA
"15461","부산광역시","부산진구","일반국도",3,129.071068,"2",50,NA
"15462","부산광역시","부산진구","특별시도",3,129.032004,"2",50,NA
"15463","부산광역시","부산진구","특별시도",3,129.124655,"2",50,NA
"15491","부산광역시","부산진구","특별시도",3,129.031586,"2",50,NA
"16774","부산광역시","부산진구","특별시도",3,129.062234,"1",70,NA
"16786","부산광역시","부산진구","특별시도",3,129.027233,"1",60,NA
"17841","부산광역시","부산진구","기타",3,129.034314,"2",30,NA
"17842","부산광역시","부산진구","기타",3,129.016005,"2",30,NA
