"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1559","인천광역시","서구","기타",2,126.6782056,"2",30,NA
"1560","인천광역시","서구","기타",2,126.6692573,"2",30,NA
"1561","인천광역시","서구","지방도",2,126.6390611,"1",60,NA
"1562","인천광역시","서구","특별시도",2,126.6404373,"2",50,NA
"1563","인천광역시","서구","특별시도",1,126.6290226,"2",50,NA
"1564","인천광역시","서구","특별시도",1,126.6198115,"2",60,NA
"1565","인천광역시","서구","특별시도",2,126.6195472,"2",60,NA
"1566","인천광역시","서구","기타",2,126.6563729,"1",30,NA
"1572","인천광역시","서구","고속국도",2,126.6271306,"1",100,NA
"1590","인천광역시","서구","특별시도",1,126.6883236,"1",60,NA
"1917","대전광역시","서구","시도",2,127.376944,"2",50,NA
"1919","대전광역시","서구","시도",2,127.341083,"2",50,NA
"1922","대전광역시","서구","시도",1,127.364342,"2",60,NA
"1923","대전광역시","서구","시도",1,127.350083,"2",50,NA
"1925","대전광역시","서구","시도",1,127.390555,"2",50,NA
"1926","대전광역시","서구","시도",1,127.358251,"2",50,NA
"2168","대전광역시","서구","시도",2,127.376327,"1",30,NA
"2169","대전광역시","서구","시도",2,127.365915,"2",30,NA
"2170","대전광역시","서구","시도",2,127.366247,"2",30,NA
"2171","대전광역시","서구","시도",2,127.375034,"1",30,NA
"2172","대전광역시","서구","시도",2,127.388671,"1",30,NA
"2173","대전광역시","서구","시도",1,127.386096,"1",30,NA
"2174","대전광역시","서구","시도",2,127.340841,"2",30,NA
"2175","대전광역시","서구","시도",2,127.384722,"2",30,NA
"2176","대전광역시","서구","시도",2,127.386208,"1",30,NA
"2177","대전광역시","서구","시도",2,127.336401,"2",60,NA
"2296","인천광역시","서구","특별시도",1,126.6964101,"2",60,NA
"2370","대전광역시","서구","시도",2,127.343803,"2",30,NA
"2371","대전광역시","서구","시도",2,127.343223,"2",30,NA
"2381","대전광역시","서구","시도",2,127.340498,"2",30,NA
"2382","대전광역시","서구","시도",2,127.379036,"2",30,NA
"2383","대전광역시","서구","시도",2,127.344757,"2",50,NA
"2384","대전광역시","서구","시도",2,127.378511,"2",30,NA
"2387","대전광역시","서구","시도",1,127.357729,"2",30,NA
"2388","대전광역시","서구","시도",2,127.390312,"2",30,NA
"2437","부산광역시","서구","특별시도",3,129.024738,"2",50,NA
"2438","부산광역시","서구","특별시도",3,129.025001,"2",50,NA
"2439","부산광역시","서구","특별시도",3,129.021396,"2",50,NA
"2453","대전광역시","서구","시도",1,127.368861,"2",50,NA
"2454","대전광역시","서구","시도",2,127.352966,"2",60,NA
"2457","대전광역시","서구","시도",2,127.370372,"2",30,NA
"2463","대전광역시","서구","시도",2,127.380399,"2",50,NA
"2464","대전광역시","서구","시도",2,127.328161,"2",50,NA
"2468","대전광역시","서구","시도",2,127.379122,"2",50,NA
"2469","대전광역시","서구","시도",2,127.378017,"2",50,NA
"2470","대전광역시","서구","시도",2,127.364155,"2",50,NA
"2537","대전광역시","서구","시도",2,127.364618,"2",60,NA
"2538","대전광역시","서구","시도",2,127.393251,"2",50,NA
"2539","대전광역시","서구","시도",1,127.401901,"2",50,NA
"2540","대전광역시","서구","시도",2,127.379654,"2",50,NA
"2541","대전광역시","서구","시도",2,127.395156,"2",50,NA
"2542","대전광역시","서구","시도",2,127.364074,"2",50,NA
"2543","대전광역시","서구","시도",2,127.379821,"2",50,NA
"2616","대전광역시","서구","시도",1,127.354181,"2",30,NA
"2617","대전광역시","서구","시도",2,127.334888,"2",30,NA
"2618","대전광역시","서구","시도",2,127.329581,"2",30,NA
"2619","대전광역시","서구","시도",1,127.378328,"2",30,NA
"2620","대전광역시","서구","시도",2,127.378814,"2",30,NA
"2623","대전광역시","서구","시도",2,127.356811,"2",60,NA
"2624","대전광역시","서구","시도",2,127.395335,"2",50,NA
"2625","대전광역시","서구","시도",2,127.373251,"2",60,NA
"2626","대전광역시","서구","시도",2,127.374453,"2",30,NA
"2633","대전광역시","서구","시도",2,127.340283,"1",60,NA
"2634","대전광역시","서구","시도",1,127.366681,"1",50,NA
"2640","대전광역시","서구","시도",2,127.374101,"2",50,NA
"2647","대전광역시","서구","시도",1,127.345904,"1",60,NA
"2651","대전광역시","서구","시도",1,127.396612,"2",50,NA
"2652","대전광역시","서구","시도",2,127.401681,"2",50,NA
"2667","대전광역시","서구","시도",1,127.366638,"1",50,NA
"2670","대전광역시","서구","시도",1,127.373222,"1",50,NA
"2679","대전광역시","서구","시도",2,127.367061,"1",40,NA
"2680","대전광역시","서구","시도",2,127.362247,"1",30,NA
"2682","대전광역시","서구","시도",3,127.318176,"1",50,NA
"2683","대전광역시","서구","시도",3,127.318298,"1",50,NA
"2685","대전광역시","서구","시도",2,127.348152,"1",60,NA
"2696","대전광역시","서구","시도",1,127.377775,"2",50,NA
"2881","대전광역시","서구","시도",2,127.369858,"2",50,NA
"2882","대전광역시","서구","시도",2,127.379751,"2",50,NA
"2883","대전광역시","서구","시도",2,127.401433,"2",50,NA
"2887","대전광역시","서구","시도",2,127.374513,"2",50,NA
"2888","대전광역시","서구","시도",1,127.340691,"2",60,NA
"2889","대전광역시","서구","시도",2,127.382673,"2",50,NA
"2922","대전광역시","서구","시도",2,127.395044,"2",30,NA
"2923","대전광역시","서구","시도",2,127.374197,"2",30,NA
"2924","대전광역시","서구","시도",2,127.376805,"2",30,NA
"2925","대전광역시","서구","시도",1,127.379809,"2",50,NA
"2926","대전광역시","서구","시도",2,127.369337,"2",30,NA
"2927","대전광역시","서구","시도",2,127.368517,"1",30,NA
"2928","대전광역시","서구","시도",2,127.400349,"2",30,NA
"2929","대전광역시","서구","시도",2,127.390269,"2",30,NA
"2930","대전광역시","서구","시도",2,127.396513,"2",30,NA
"2931","대전광역시","서구","시도",2,127.393327,"2",30,NA
"2951","대전광역시","서구","시도",2,127.340723,"1",30,NA
"2963","대전광역시","서구","시도",2,127.366945,"2",30,NA
"2964","대전광역시","서구","시도",2,127.380828,"2",30,NA
"2965","대전광역시","서구","시도",2,127.374165,"2",30,NA
"2966","대전광역시","서구","시도",2,127.395387,"1",30,NA
"2967","대전광역시","서구","시도",1,127.357879,"2",30,NA
"2968","대전광역시","서구","시도",2,127.368629,"2",50,NA
"2969","대전광역시","서구","시도",2,127.393799,"2",30,NA
"2971","대전광역시","서구","시도",2,127.374219,"2",30,NA
"2972","대전광역시","서구","시도",2,127.371488,"2",30,NA
"2973","대전광역시","서구","시도",2,127.327237,"2",30,NA
"2974","대전광역시","서구","시도",2,127.325789,"2",30,NA
"2975","대전광역시","서구","시도",2,127.329555,"2",50,NA
"2976","대전광역시","서구","시도",2,127.329512,"2",30,NA
"2977","대전광역시","서구","시도",2,127.335102,"2",30,NA
"2978","대전광역시","서구","시도",2,127.336909,"1",30,NA
"2979","대전광역시","서구","시도",2,127.343422,"2",30,NA
"2980","대전광역시","서구","시도",2,127.347257,"1",30,NA
"2981","대전광역시","서구","시도",2,127.344941,"1",30,NA
"2982","대전광역시","서구","시도",2,127.345723,"1",30,NA
"2983","대전광역시","서구","시도",1,127.344114,"2",30,NA
"2984","대전광역시","서구","시도",2,127.377373,"2",30,NA
"2995","광주광역시","서구","일반국도",1,126.883891,"2",60,NA
"2996","광주광역시","서구","특별시도",2,126.8950144,"2",50,NA
"2998","광주광역시","서구","특별시도",1,126.8383217,"2",50,NA
"2999","광주광역시","서구","특별시도",2,126.8632573,"2",60,NA
"3000","광주광역시","서구","특별시도",2,126.885264,"2",60,NA
"3021","광주광역시","서구","특별시도",2,126.848961,"1",50,NA
"3022","광주광역시","서구","특별시도",2,126.8656727,"1",60,NA
"3023","광주광역시","서구","일반국도",2,126.8838681,"1",60,NA
"3029","광주광역시","서구","특별시도",2,126.8659177,"2",60,NA
"3030","광주광역시","서구","특별시도",1,126.869592,"2",60,NA
"3035","광주광역시","서구","특별시도",2,126.8489634,"2",50,NA
"3040","광주광역시","서구","특별시도",2,126.8470859,"2",50,NA
"3046","광주광역시","서구","특별시도",2,126.8326866,"2",60,NA
"3048","광주광역시","서구","일반국도",2,126.8868487,"2",60,NA
"3049","광주광역시","서구","특별시도",2,126.891983,"2",60,NA
"3051","광주광역시","서구","특별시도",1,126.8479746,"2",60,NA
"3052","광주광역시","서구","특별시도",1,126.8580611,"2",60,NA
"3067","광주광역시","서구","특별시도",2,126.8292328,"2",80,NA
"3068","광주광역시","서구","특별시도",1,126.8554025,"2",60,NA
"3093","광주광역시","서구","특별시도",2,126.855532,"1",60,NA
"3095","광주광역시","서구","특별시도",2,126.8703221,"2",60,NA
"3096","광주광역시","서구","특별시도",1,126.8696075,"2",60,NA
"3110","광주광역시","서구","특별시도",2,126.8638367,"2",50,NA
"3114","광주광역시","서구","특별시도",1,126.8326866,"2",60,NA
"3115","광주광역시","서구","특별시도",2,126.8482262,"2",50,NA
"3126","광주광역시","서구","일반국도",1,126.8551117,"2",60,NA
"3127","광주광역시","서구","일반국도",2,126.8558265,"2",60,NA
"3128","광주광역시","서구","일반국도",1,126.8774717,"2",60,NA
"3129","광주광역시","서구","일반국도",2,126.8771059,"2",60,NA
"3130","광주광역시","서구","특별시도",1,126.848844,"2",60,NA
"3515","광주광역시","서구","특별시도",2,126.9014647,"1",30,NA
"3516","광주광역시","서구","특별시도",2,126.8569888,"2",30,NA
"3517","광주광역시","서구","특별시도",2,126.8831647,"2",30,NA
"3518","광주광역시","서구","특별시도",2,126.876202,"2",30,NA
"3519","광주광역시","서구","특별시도",1,126.8470859,"2",30,NA
"3520","광주광역시","서구","특별시도",2,126.8655815,"2",30,NA
"3521","광주광역시","서구","특별시도",2,126.8701473,"1",30,NA
"3522","광주광역시","서구","특별시도",2,126.8720786,"2",50,NA
"3523","광주광역시","서구","특별시도",2,126.8435875,"2",50,NA
"3524","광주광역시","서구","특별시도",2,126.859445,"2",50,NA
"3538","광주광역시","서구","특별시도",2,126.876901,"2",30,NA
"3539","광주광역시","서구","특별시도",1,126.8815738,"2",30,NA
"3540","광주광역시","서구","특별시도",2,126.8609464,"2",30,NA
"3541","광주광역시","서구","특별시도",1,126.854898,"2",30,NA
"3542","광주광역시","서구","특별시도",2,126.8456659,"2",30,NA
"3548","광주광역시","서구","특별시도",2,126.8554025,"2",60,NA
"3549","광주광역시","서구","특별시도",1,126.8834003,"2",60,NA
"3563","광주광역시","서구","특별시도",2,126.8208772,"2",60,NA
"3564","광주광역시","서구","특별시도",2,126.8948764,"1",50,NA
"3569","광주광역시","서구","특별시도",2,126.8676848,"1",50,NA
"3570","광주광역시","서구","특별시도",2,126.8893183,"1",30,NA
"3571","광주광역시","서구","특별시도",1,126.8318648,"1",80,NA
"3572","광주광역시","서구","특별시도",2,126.8299052,"1",80,NA
"3573","광주광역시","서구","특별시도",1,126.8352289,"1",80,NA
"6001","부산광역시","서구","특별시도",3,129.020677,"2",50,NA
"6053","인천광역시","서구","특별시도",1,126.6709263,"2",30,NA
"6060","인천광역시","서구","기타",2,126.6699995,"1",30,NA
"6061","인천광역시","서구","기타",1,126.6446849,"2",30,NA
"6062","인천광역시","서구","기타",2,126.6563793,"2",30,NA
"6063","인천광역시","서구","기타",1,126.6272505,"2",30,NA
"6064","인천광역시","서구","기타",2,126.6517712,"2",30,NA
"6074","인천광역시","서구","특별시도",2,126.6504077,"2",30,NA
"6075","인천광역시","서구","특별시도",1,126.6629048,"2",60,NA
"6076","인천광역시","서구","특별시도",2,126.613072,"2",50,NA
"6077","인천광역시","서구","특별시도",1,126.6130932,"2",50,NA
"6078","인천광역시","서구","특별시도",2,126.6063378,"2",30,NA
"6079","인천광역시","서구","특별시도",1,126.6065972,"2",30,NA
"6089","인천광역시","서구","특별시도",1,126.6629255,"2",60,NA
"6115","인천광역시","서구","특별시도",1,126.6775755,"2",50,NA
"6116","인천광역시","서구","특별시도",1,126.6784441,"1",30,NA
"6117","인천광역시","서구","특별시도",2,126.6792069,"1",30,NA
"6987","인천광역시","서구","지방도",2,126.6501126,"1",60,NA
"6988","인천광역시","서구","지방도",2,126.6493821,"1",60,NA
"6997","인천광역시","서구","기타",2,126.6990169,"2",30,NA
"7341","부산광역시","서구","특별시도",3,129.021285,"2",50,NA
"7755","부산광역시","서구","특별시도",3,129.022576,"2",50,NA
"7756","부산광역시","서구","특별시도",3,129.011176,"1",50,NA
"8058","인천광역시","서구","지방도",1,126.6491783,"1",60,NA
"9890","인천광역시","서구","지방도",3,126.6775915,"2",50,NA
"9891","인천광역시","서구","지방도",2,126.662581,"2",60,NA
"9892","인천광역시","서구","지방도",2,126.6492159,"2",60,NA
"9910","인천광역시","서구","특별시도",1,126.692727,"1",50,NA
"9911","인천광역시","서구","특별시도",2,NA,"1",50,NA
"9921","인천광역시","서구","특별시도",2,126.6708488,"1",50,NA
"9922","인천광역시","서구","특별시도",1,126.6832336,"1",50,NA
