"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"1206","강원도","춘천시","시도",3,127.7654792,"2",60,NA
"1210","강원도","춘천시","지방도",3,127.702379,"2",70,NA
"1211","강원도","춘천시","시도",3,127.701353,"1",50,NA
"2298","강원도","춘천시","일반국도",3,127.828645,"1",60,NA
"2299","강원도","춘천시","일반국도",3,127.7829546,"1",80,NA
"2306","강원도","춘천시","시도",3,127.7685622,"2",50,NA
"2315","강원도","춘천시","일반국도",3,127.759342,"2",60,NA
"2571","강원도","춘천시","시도",3,127.7170151,"2",50,NA
"3429","강원도","춘천시","일반국도",3,127.669132,"1",80,NA
"3430","강원도","춘천시","시도",3,127.7684778,"2",60,NA
"3431","강원도","춘천시","시도",3,127.728895,"1",60,NA
"4152","강원도","춘천시","일반국도",3,127.7771108,"2",80,NA
"4153","강원도","춘천시","일반국도",3,127.7767851,"2",80,NA
"6271","강원도","춘천시","일반국도",3,127.780581,"1",60,NA
"6272","강원도","춘천시","지방도",3,127.7091055,"1",60,NA
"6273","강원도","춘천시","지방도",3,127.715593,"1",60,NA
"6277","강원도","춘천시","시도",3,127.7550695,"2",60,NA
"6655","강원도","춘천시","시도",3,127.731135,"1",60,NA
"6663","강원도","춘천시","일반국도",3,127.7056894,"2",80,NA
"6664","강원도","춘천시","시도",3,127.7210209,"2",60,NA
"7094","강원도","춘천시","일반국도",3,127.5325155,"2",60,NA
"7095","강원도","춘천시","일반국도",3,127.5327907,"2",60,NA
"11083","강원도","춘천시","일반국도",3,127.7062085,"2",70,NA
"11084","강원도","춘천시","일반국도",3,127.7592103,"2",80,NA
"11085","강원도","춘천시","일반국도",3,127.7592008,"2",60,NA
"11086","강원도","춘천시","일반국도",3,127.7422218,"2",80,NA
"11087","강원도","춘천시","일반국도",3,127.7423881,"2",80,NA
"11101","강원도","춘천시","일반국도",3,127.5822188,"2",60,NA
"11112","강원도","춘천시","시도",3,127.7267157,"2",60,NA
"11113","강원도","춘천시","일반국도",3,127.772819,"2",80,NA
"11114","강원도","춘천시","일반국도",3,127.7667216,"2",80,NA
"11125","강원도","춘천시","시도",3,127.7385409,"2",60,NA
"11131","강원도","춘천시","시도",3,127.7384438,"2",60,NA
"11132","강원도","춘천시","시도",3,127.7210089,"2",60,NA
"11139","강원도","춘천시","고속국도",2,127.781669,"1",100,NA
"11146","강원도","춘천시","지방도",3,127.622061,"1",60,NA
"11155","강원도","춘천시","일반국도",3,127.883785,"1",60,NA
"11780","강원도","춘천시","시도",3,127.7557175,"2",60,NA
"11781","강원도","춘천시","시도",3,127.707419,"1",60,NA
"11782","강원도","춘천시","일반국도",3,127.713813,"1",80,NA
"11784","강원도","춘천시","시도",3,127.7459564,"2",50,NA
"11796","강원도","춘천시","일반국도",3,127.763901,"1",80,NA
"11828","강원도","춘천시","시도",3,127.7566831,"2",60,NA
"11830","강원도","춘천시","시도",3,127.7560716,"2",60,NA
"16055","강원도","춘천시","일반국도",3,127.666642,"1",80,NA
"16056","강원도","춘천시","시도",3,127.759184,"2",50,NA
"17520","강원도","춘천시","지방도",3,127.673726,"2",60,NA
"17521","강원도","춘천시","지방도",3,127.673726,"2",60,NA
"17811","강원도","춘천시","시도",3,127.7299442,"1",30,NA
"17812","강원도","춘천시","시도",3,127.7221926,"2",60,NA
"17813","강원도","춘천시","지방도",3,127.7131535,"1",60,NA
"17814","강원도","춘천시","시도",3,127.7144839,"1",60,1
"17815","강원도","춘천시","시도",3,127.7162381,"1",60,1
"18226","강원도","춘천시","시도",3,127.750463,"2",60,NA
