"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"18569","충청북도","증평군","기타",1,127.594673,"99",50,NA
"18588","충청북도","증평군","지방도",1,127.597706,"99",60,NA
"18589","충청북도","증평군","군도",2,127.548296,"01",60,NA
"18590","충청북도","증평군","일반국도",2,127.573158,"99",70,NA
"18591","충청북도","증평군","일반국도",2,127.613186,"01",70,NA
"18592","충청북도","증평군","군도",3,127.586123172,"99",70,NA
"18593","충청북도","증평군","군도",3,127.5862039,"99",70,NA
"18594","충청북도","증평군","지방도",2,127.599956,"99",70,NA
"18595","충청북도","증평군","지방도",2,127.585064686,"01",70,NA
"18596","충청북도","증평군","일반국도",2,127.585828,"99",70,NA
"18597","충청북도","증평군","일반국도",1,127.585047349,"99",70,NA
"18598","충청북도","증평군","일반국도",1,127.567774,"01",70,NA
"18599","충청북도","증평군","기타",2,127.574604,"99",50,NA
"18600","충청북도","증평군","기타",2,127.569698,"99",50,NA
"18601","충청북도","증평군","지방도",2,127.612836,"99",70,NA
"18602","충청북도","증평군","지방도",1,127.624879337,"01",70,NA
