"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"471","충청남도","서천군","지방도",2,126.716101,"1",80,NA
"581","충청남도","서천군","일반국도",2,126.691194,"1",60,NA
"851","충청남도","서천군","지방도",2,126.66344,"2",60,NA
"852","충청남도","서천군","일반국도",1,126.682763,"2",80,NA
"889","충청남도","서천군","군도",1,126.744611,"1",60,NA
"985","충청남도","서천군","일반국도",2,126.815778,"1",60,NA
"986","충청남도","서천군","지방도",1,126.571451,"1",60,NA
"1025","충청남도","서천군","일반국도",2,126.685827,"2",80,NA
"1052","충청남도","서천군","일반국도",1,126.804111,"2",60,NA
"1053","충청남도","서천군","일반국도",1,126.78658,"1",60,NA
"1054","충청남도","서천군","군도",2,126.699568,"1",50,NA
"1155","충청남도","서천군","일반국도",2,126.682583,"1",80,NA
"1156","충청남도","서천군","일반국도",1,126.738474,"2",80,NA
"1439","충청남도","서천군","일반국도",1,126.654076,"2",70,NA
"1440","충청남도","서천군","일반국도",2,126.654544,"2",70,NA
"1462","충청남도","서천군","일반국도",1,126.687081,"1",80,NA
"1663","충청남도","서천군","고속국도",2,126.611462,"1",110,NA
"1712","충청남도","서천군","군도",1,126.688896,"2",30,NA
"1713","충청남도","서천군","군도",2,126.687561,"1",30,NA
"1714","충청남도","서천군","군도",1,126.521822,"1",30,NA
"1715","충청남도","서천군","지방도",1,126.69019,"1",30,NA
"1716","충청남도","서천군","군도",1,126.692097,"1",50,NA
"1768","충청남도","서천군","군도",2,126.691382,"2",50,NA
"1769","충청남도","서천군","일반국도",2,126.597805,"2",60,NA
"1906","충청남도","서천군","일반국도",2,126.708778,"2",80,NA
"1907","충청남도","서천군","지방도",1,126.734543,"1",70,NA
"12777","충청남도","서천군","지방도",3,126.6913576,"4",40,260
"12778","충청남도","서천군","지방도",3,126.6906994,"4",40,180
"12779","충청남도","서천군","지방도",3,126.6935987,"4",40,170
"12780","충청남도","서천군","지방도",3,126.6891051,"4",40,220
"12781","충청남도","서천군","지방도",3,126.6865481,"4",40,170
"12782","충청남도","서천군","지방도",3,126.6864872,"4",40,100
"12783","충청남도","서천군","지방도",3,126.6883382,"4",40,140
"12784","충청남도","서천군","지방도",3,126.6873098,"4",40,200
"12785","충청남도","서천군","지방도",3,126.6869342,"4",40,280
"12786","충청남도","서천군","지방도",3,126.6910034,"1",50,20
"12787","충청남도","서천군","일반국도",2,126.5965709,"1",70,20
