"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5295","경상남도","사천시","시도",3,128.077887,"4",30,NA
"5296","경상남도","사천시","시도",3,128.0781611,"4",30,NA
"5297","경상남도","사천시","시도",3,128.072453,"4",30,NA
"5298","경상남도","사천시","시도",3,128.0658446,"4",30,NA
"5299","경상남도","사천시","시도",3,128.083271,"4",30,NA
"5391","경상남도","사천시","시도",3,128.069914,"4",50,NA
"5490","경상남도","사천시","시도",3,128.089649,"4",30,NA
"5491","경상남도","사천시","시도",3,128.087329,"4",30,NA
"5492","경상남도","사천시","시도",3,128.0872639,"4",30,NA
"5493","경상남도","사천시","시도",3,128.066485,"4",30,NA
"5494","경상남도","사천시","시도",3,128.066485,"4",30,NA
"5495","경상남도","사천시","시도",3,128.0753933,"4",30,NA
"5496","경상남도","사천시","시도",3,128.0628809,"4",30,NA
"5497","경상남도","사천시","시도",3,128.061975,"4",30,NA
"5498","경상남도","사천시","시도",3,127.9767903,"4",30,NA
"5499","경상남도","사천시","시도",3,127.9624169,"4",30,NA
"5500","경상남도","사천시","시도",3,128.064588,"4",30,NA
"5503","경상남도","사천시","시도",3,128.0858361,"4",50,NA
"5504","경상남도","사천시","시도",3,128.088164,"4",50,NA
"5505","경상남도","사천시","시도",3,128.086533,"4",50,NA
"5506","경상남도","사천시","시도",3,128.098106,"4",50,NA
"5507","경상남도","사천시","시도",3,128.085433,"4",60,NA
"5508","경상남도","사천시","시도",3,128.086666,"4",50,NA
"5509","경상남도","사천시","시도",3,128.089959,"4",50,NA
"5510","경상남도","사천시","시도",3,128.0836585,"4",50,NA
"5511","경상남도","사천시","시도",3,128.064661,"4",50,NA
"5512","경상남도","사천시","시도",3,128.068056,"4",50,NA
"5513","경상남도","사천시","시도",3,127.961053,"4",40,NA
"5514","경상남도","사천시","시도",3,128.063191,"4",30,NA
"5515","경상남도","사천시","시도",3,128.086689,"4",30,NA
"5516","경상남도","사천시","시도",3,128.0795561,"4",50,NA
"5517","경상남도","사천시","시도",3,128.086937,"4",40,NA
"5518","경상남도","사천시","시도",3,128.0851561,"4",50,NA
"5519","경상남도","사천시","시도",3,128.069646,"4",50,NA
"5520","경상남도","사천시","시도",3,128.0666999,"4",50,NA
"5521","경상남도","사천시","시도",3,128.069331,"4",50,NA
"5522","경상남도","사천시","시도",3,128.0714977,"4",50,NA
"5523","경상남도","사천시","시도",3,128.0698378,"4",30,NA
"5524","경상남도","사천시","시도",3,128.076625,"4",50,NA
"5525","경상남도","사천시","시도",3,128.091375,"4",30,NA
"5887","경상남도","사천시","고속국도",2,128.053073,"01",100,NA
"6166","경상남도","사천시","일반국도",2,128.042779,"02",80,NA
"6314","경상남도","사천시","일반국도",1,128.114971,"01",80,NA
"6327","경상남도","사천시","일반국도",2,128.079281,"02",70,NA
"6338","경상남도","사천시","일반국도",2,127.977463,"01",80,NA
"6341","경상남도","사천시","시도",2,128.092974,"01",50,NA
"6347","경상남도","사천시","시도",2,128.077055,"02",50,NA
"6394","경상남도","사천시","일반국도",1,128.066359,"01",80,NA
"6529","경상남도","사천시","일반국도",2,128.157275,"02",70,NA
"7396","경상남도","사천시","지방도",3,128.009982,"01",60,NA
"7406","경상남도","사천시","일반국도",2,128.085809,"02",70,NA
"7463","경상남도","사천시","시도",3,128.065219,"01",60,NA
"7500","경상남도","사천시","시도",2,128.079782,"02",50,NA
"7537","경상남도","사천시","지방도",3,127.940738,"01",60,NA
"7599","경상남도","사천시","일반국도",2,128.055491,"02",80,NA
"7929","경상남도","사천시","일반국도",3,128.057243,"02",80,NA
"8142","경상남도","사천시","일반국도",1,128.079506,"02",70,NA
"8171","경상남도","사천시","시도",3,128.061341,"02",50,NA
"8172","경상남도","사천시","일반국도",1,128.057827,"01",80,NA
"8220","경상남도","사천시","시도",2,128.079601,"02",50,NA
"8221","경상남도","사천시","시도",1,128.079669,"02",50,NA
"8486","경상남도","사천시","시도",1,128.089329,"02",50,NA
"8490","경상남도","사천시","시도",2,128.076337,"02",50,NA
"8729","경상남도","사천시","고속국도",2,127.991285,"01",100,NA
"8730","경상남도","사천시","고속국도",2,128.070372,"01",100,NA
"8733","경상남도","사천시","시도",1,128.083269,"02",30,NA
"8747","경상남도","사천시","시도",1,128.087424,"02",30,NA
"8748","경상남도","사천시","일반국도",2,128.064954,"02",30,NA
"8749","경상남도","사천시","지방도",2,128.080262,"02",30,NA
"8750","경상남도","사천시","시도",2,128.090565,"02",30,NA
"8751","경상남도","사천시","시도",1,128.090761,"02",30,NA
"8752","경상남도","사천시","지방도",2,128.098905,"01",30,NA
"8753","경상남도","사천시","시도",2,128.062608,"01",50,NA
"8780","경상남도","사천시","일반국도",1,128.139845,"02",70,NA
