"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"6700","강원도","강릉","시도",3,129.03422,"1",30,NA
"6753","강원도","강릉","시도",3,128.964964,"1",30,NA
"13051","강원도","강릉","시도",3,128.849617,"1",30,NA
"13052","강원도","강릉","시도",3,128.849617,"1",30,NA
"13053","강원도","강릉","일반국도",3,128.837314,"1",30,NA
"13054","강원도","강릉","일반국도",3,128.837314,"1",30,NA
"13055","강원도","강릉","시도",3,128.888315,"1",30,NA
"13056","강원도","강릉","시도",3,128.888315,"1",30,NA
"13057","강원도","강릉","시도",3,128.91505,"1",30,NA
"13058","강원도","강릉","시도",3,128.91505,"1",30,NA
"13059","강원도","강릉","시도",3,128.913844,"2",30,NA
"13060","강원도","강릉","시도",3,128.914197,"2",30,NA
"13061","강원도","강릉","시도",3,128.882539,"2",30,NA
"13062","강원도","강릉","시도",3,128.928853,"1",30,NA
"13063","강원도","강릉","시도",3,128.879129,"1",30,NA
"13064","강원도","강릉","일반국도",3,128.832659,"1",30,NA
"13065","강원도","강릉","시도",3,128.876947,"1",30,NA
"13066","강원도","강릉","시도",3,128.891144,"1",30,NA
"13067","강원도","강릉","시도",3,129.033938,"1",30,NA
"13068","강원도","강릉","시도",3,128.921972,"1",30,NA
"13069","강원도","강릉","시도",3,128.909439,"2",30,NA
"13070","강원도","강릉","시도",3,128.90659,"2",30,NA
"13071","강원도","강릉","시도",3,128.886136,"2",30,NA
"13072","강원도","강릉","시도",3,128.870321,"1",30,NA
"13073","강원도","강릉","시도",3,128.90358,"2",30,NA
"13074","강원도","강릉","시도",3,128.90071,"1",30,NA
"13096","강원도","강릉","시도",3,128.829892,"1",30,NA
"13097","강원도","강릉","시도",3,128.8298376,"1",30,NA
"13098","강원도","강릉","시도",3,128.825478,"1",30,NA
"13099","강원도","강릉","시도",3,128.825478,"1",30,NA
"18866","강원도","강릉","시도",3,128.8211741,"1",30,NA
"18867","강원도","강릉","시도",3,128.821303,"1",30,NA
"18868","강원도","강릉","시도",3,128.8945057,"2",30,NA
