"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"101","경기도","과천시","지방도",3,126.993031,"2",60,NA
"131","경기도","과천시","일반국도",3,126.999208902,"2",50,NA
"5682","경기도","과천시","지방도",3,127.000972,"1",60,NA
"5688","경기도","과천시","일반국도",3,126.9887255,"2",50,NA
"5689","경기도","과천시","지방도",3,126.994564858,"2",50,NA
"5801","경기도","과천시","지방도",3,126.994645072,"2",30,NA
"6296","경기도","과천시","지방도",3,127.015806,"1",80,NA
"6302","경기도","과천시","일반국도",3,126.980336,"2",60,NA
"7724","경기도","과천시","지방도",3,127.010337,"1",30,NA
"8521","경기도","과천시","지방도",3,126.994646,"2",60,NA
"9054","경기도","과천시","지방도",3,126.99450766,"2",60,NA
"11543","경기도","과천시","시도",3,126.997699,"2",30,NA
"14735","경기도","과천시","지방도",1,126.9950045736,"2",30,NA
"14736","경기도","과천시","일반국도",2,126.988703,"2",50,NA
"14737","경기도","과천시","지방도",2,126.994606,"2",50,NA
"14738","경기도","과천시","지방도",2,126.989214,"2",50,NA
"14739","경기도","과천시","일반국도",1,126.999048,"2",50,NA
"14740","경기도","과천시","일반국도",2,126.980261,"2",60,NA
"14741","경기도","과천시","지방도",2,126.995012,"2",60,NA
"14742","경기도","과천시","지방도",2,126.993628,"1",60,NA
"14743","경기도","과천시","지방도",2,NA,"2",30,NA
"14760","경기도","과천시","지방도",1,126.997168,"2",30,NA
"14761","경기도","과천시","일반국도",1,NA,"2",60,NA
"14762","경기도","과천시","지방도",1,126.994686,"2",60,NA
"14763","경기도","과천시","지방도",2,126.994686,"2",60,NA
"14936","경기도","과천시","지방도",3,126.993025,"1",60,NA
"16813","경기도","과천시","일반국도",3,126.980762,"2",60,NA
"17180","경기도","과천시","지방도",3,126.994907,"2",30,NA
"18004","경기도","과천시","지방도",3,126.989199542,"2",50,NA
