"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2433","부산광역시","동래구","특별시도",3,129.081939,"2",50,NA
"11732","부산광역시","동래구","시도",3,129.068818,"1",30,NA
"11733","부산광역시","동래구","특별시도",3,129.098873,"2",30,NA
"11734","부산광역시","동래구","시도",3,129.104357,"2",30,NA
"11735","부산광역시","동래구","시도",3,129.100779,"2",30,NA
"11736","부산광역시","동래구","시도",3,129.110976,"2",30,NA
"12120","부산광역시","동래구","시도",3,129.0766352,"3",0,30
"12121","부산광역시","동래구","시도",3,129.0818439,"3",0,30
"12135","부산광역시","동래구","시도",3,129.1016872,"3",0,30
"12136","부산광역시","동래구","시도",3,129.0802018,"3",0,30
"12137","부산광역시","동래구","시도",3,129.0934687,"3",0,30
"12688","부산광역시","동래구","특별시도",3,129.060578,"2",30,NA
"12689","부산광역시","동래구","기타",3,129.089405,"2",30,NA
"12690","부산광역시","동래구","기타",3,129.072787,"2",30,NA
"12691","부산광역시","동래구","기타",3,129.099293,"2",30,NA
"12696","부산광역시","동래구","일반국도",3,129.083565,"2",50,NA
"14818","부산광역시","동래구","특별시도",3,129.055533,"1",30,NA
"14819","부산광역시","동래구","기타",3,129.094873,"1",30,NA
"15024","부산광역시","동래구","일반국도",3,129.084234,"2",50,NA
"15153","부산광역시","동래구","특별시도",3,129.065017,"1",50,NA
"15169","부산광역시","동래구","특별시도",3,129.093546,"2",50,NA
"15184","부산광역시","동래구","일반국도",3,129.078599,"2",50,NA
"15243","부산광역시","동래구","일반국도",3,129.055023,"2",50,NA
"15350","부산광역시","동래구","특별시도",3,129.071496,"1",50,NA
"15443","부산광역시","동래구","일반국도",3,129.069723,"2",50,NA
"15444","부산광역시","동래구","특별시도",3,129.096701,"2",50,NA
