"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"2302","강원도","고성군","지방도",3,128.413692,"1",60,69
"2303","강원도","고성군","지방도",3,128.413692,"1",60,69
"2304","강원도","고성군","지방도",3,128.4908904,"1",60,69
"2305","강원도","고성군","지방도",3,128.4909055,"1",60,69
"6351","경상남도","고성군","지방도",2,128.338075,"02",80,NA
"6356","경상남도","고성군","일반국도",2,128.341231,"01",80,NA
"6384","경상남도","고성군","일반국도",1,128.357941,"01",60,NA
"6532","경상남도","고성군","일반국도",1,128.295812,"01",70,NA
"6541","경상남도","고성군","일반국도",2,128.463687,"01",50,NA
"6661","강원도","고성군","일반국도",3,128.5240636,"2",60,NA
"6662","강원도","고성군","일반국도",3,128.5242245,"2",60,NA
"7407","경상남도","고성군","일반국도",1,128.420415,"01",50,NA
"7408","경상남도","고성군","일반국도",2,128.412251,"01",50,NA
"7409","경상남도","고성군","군도",2,128.402685,"01",50,NA
"7410","경상남도","고성군","군도",2,128.398627,"01",50,NA
"7416","경상남도","고성군","일반국도",2,128.271772,"02",70,NA
"7417","경상남도","고성군","일반국도",2,128.344306,"02",80,NA
"7502","경상남도","고성군","일반국도",1,128.170255,"02",70,NA
"7534","경상남도","고성군","일반국도",2,128.375016,"01",80,NA
"7557","경상남도","고성군","일반국도",2,128.359561,"01",60,NA
"7621","경상남도","고성군","지방도",2,128.345777,"01",50,NA
"7838","경상남도","고성군","일반국도",1,128.219751,"02",70,NA
"7839","경상남도","고성군","일반국도",2,128.469574,"01",50,NA
"7845","경상남도","고성군","일반국도",2,128.243842,"02",60,NA
"7858","경상남도","고성군","일반국도",2,128.249301,"02",60,NA
"7861","경상남도","고성군","일반국도",1,128.367317,"02",70,NA
"7862","경상남도","고성군","일반국도",1,128.362371,"02",70,NA
"7863","경상남도","고성군","일반국도",1,128.332636,"02",70,NA
"7864","경상남도","고성군","일반국도",2,128.334739,"02",70,NA
"7865","경상남도","고성군","일반국도",1,128.186997,"02",70,NA
"7899","경상남도","고성군","일반국도",1,128.236624,"02",60,NA
"7923","경상남도","고성군","일반국도",2,128.366271,"02",70,NA
"8095","경상남도","고성군","일반국도",2,128.373841,"02",80,NA
"8096","경상남도","고성군","일반국도",2,128.211501,"02",70,NA
"8121","경상남도","고성군","지방도",3,128.375597,"01",50,NA
"8148","경상남도","고성군","지방도",2,128.353764,"02",80,NA
"8170","경상남도","고성군","일반국도",3,128.117991,"02",60,NA
"8186","경상남도","고성군","군도",2,128.396687,"01",50,NA
"8202","경상남도","고성군","지방도",2,128.384812,"01",50,NA
"8206","경상남도","고성군","일반국도",1,128.404484,"01",50,NA
"8236","경상남도","고성군","일반국도",2,128.472366,"01",50,2.1
"8237","경상남도","고성군","일반국도",2,128.47576457,"01",50,NA
"8238","경상남도","고성군","일반국도",1,128.4755017,"01",50,2.1
"8239","경상남도","고성군","일반국도",1,128.4717841,"01",50,NA
"8280","경상남도","고성군","지방도",1,128.252306,"01",50,NA
"8281","경상남도","고성군","지방도",3,128.308831,"01",50,NA
"8282","경상남도","고성군","일반국도",3,128.478946,"01",50,NA
"8283","경상남도","고성군","지방도",3,128.403292,"01",50,NA
"8325","경상남도","고성군","일반국도",1,128.319399,"01",70,NA
"8326","경상남도","고성군","일반국도",1,128.274756,"01",50,NA
"8419","경상남도","고성군","군도",1,128.299483,"01",50,NA
"8420","경상남도","고성군","지방도",1,128.310941,"01",60,NA
"8421","경상남도","고성군","지방도",2,128.310941,"01",60,NA
"8422","경상남도","고성군","일반국도",1,128.271914,"02",70,NA
"8447","경상남도","고성군","군도",2,128.305022,"01",50,NA
"8455","경상남도","고성군","지방도",1,128.206352,"01",30,NA
"8456","경상남도","고성군","지방도",1,128.334759,"01",30,NA
"8457","경상남도","고성군","군도",1,128.318764,"02",30,NA
"8458","경상남도","고성군","군도",2,128.318764,"02",30,NA
"8498","경상남도","고성군","지방도",2,128.336203,"01",30,NA
"8499","경상남도","고성군","지방도",2,128.259801,"01",30,NA
"8500","경상남도","고성군","지방도",2,128.298085,"01",30,NA
"8501","경상남도","고성군","지방도",2,128.216808,"01",30,NA
"8502","경상남도","고성군","일반국도",1,128.405161,"01",30,NA
"8503","경상남도","고성군","지방도",2,128.444452,"01",30,NA
"8530","경상남도","고성군","지방도",2,128.419986,"01",60,NA
"8531","경상남도","고성군","지방도",1,128.327871,"01",40,NA
"8536","경상남도","고성군","지방도",2,128.187938,"01",30,NA
"8537","경상남도","고성군","지방도",1,128.187143,"01",50,NA
"8538","경상남도","고성군","일반국도",2,128.17653733,"01",50,NA
"8539","경상남도","고성군","군도",1,128.393367,"02",40,NA
"8540","경상남도","고성군","군도",2,128.378126,"01",40,NA
"8577","경상남도","고성군","일반국도",2,128.193198,"01",50,NA
"8578","경상남도","고성군","일반국도",1,128.193198,"01",50,NA
"8635","경상남도","고성군","지방도",1,128.298085,"01",30,NA
"8636","경상남도","고성군","지방도",2,128.206352,"01",30,NA
"8637","경상남도","고성군","지방도",1,128.334759,"01",30,NA
"8638","경상남도","고성군","군도",1,128.1866709,"01",30,NA
"8639","경상남도","고성군","지방도",2,128.444205,"02",30,NA
"8712","경상남도","고성군","일반국도",1,128.373213,"02",70,NA
"8713","경상남도","고성군","일반국도",1,128.373992,"02",80,NA
"8716","경상남도","고성군","군도",2,128.402611,"01",50,NA
"8726","경상남도","고성군","일반국도",2,128.334429,"02",70,NA
"8766","경상남도","고성군","일반국도",2,128.344292,"02",70,NA
"8775","경상남도","고성군","시도",2,128.326265,"02",40,NA
"11095","강원도","고성군","일반국도",3,128.446724,"2",60,NA
"11096","강원도","고성군","일반국도",3,128.446724,"2",60,NA
"11097","강원도","고성군","일반국도",3,128.509083,"1",80,NA
"11106","강원도","고성군","일반국도",3,128.5434211,"1",80,NA
"11107","강원도","고성군","일반국도",3,128.9255996,"1",60,NA
"11115","강원도","고성군","일반국도",3,128.5327877,"2",80,NA
"11116","강원도","고성군","일반국도",3,128.5023741,"2",80,NA
"11130","강원도","고성군","군도",3,128.5771157,"1",50,NA
"11786","강원도","고성군","일반국도",3,128.557011,"2",80,NA
"11800","강원도","고성군","지방도",3,128.5289173,"1",80,NA
"11803","강원도","고성군","군도",3,128.513242,"2",70,NA
"13103","강원도","고성군","일반국도",3,128.508936,"1",80,NA
"16054","강원도","고성군","일반국도",3,128.5483398,"2",60,NA
"17510","강원도","고성군","일반국도",3,128.571314,"1",80,NA
"17511","강원도","고성군","일반국도",3,128.5562738,"1",80,NA
