"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"4271","전라남도","여수시","시도",3,127.696301,"2",60,NA
"5549","전라남도","여수시","시도",3,127.631869,"2",30,NA
"5550","전라남도","여수시","시도",3,127.726699,"2",30,NA
"5551","전라남도","여수시","시도",3,127.702912,"2",30,NA
"5552","전라남도","여수시","시도",3,127.744304,"2",30,NA
"5553","전라남도","여수시","시도",3,127.685751,"1",30,NA
"5554","전라남도","여수시","시도",3,127.721167,"1",30,NA
"5555","전라남도","여수시","시도",3,127.729591,"1",30,NA
"5556","전라남도","여수시","시도",3,127.729591,"1",30,NA
"5557","전라남도","여수시","시도",3,127.707499,"1",30,NA
"5558","전라남도","여수시","시도",3,127.677014,"1",30,NA
"5559","전라남도","여수시","시도",3,127.667262,"1",30,NA
"5560","전라남도","여수시","시도",3,127.652531,"1",30,NA
"5561","전라남도","여수시","시도",3,127.646924,"1",30,NA
"5562","전라남도","여수시","시도",3,127.627734,"1",30,NA
"5563","전라남도","여수시","시도",3,127.627734,"1",30,NA
"5564","전라남도","여수시","시도",3,127.607704,"1",30,NA
"5565","전라남도","여수시","시도",3,127.607704,"1",30,NA
"5566","전라남도","여수시","시도",3,127.638053,"1",30,NA
"5567","전라남도","여수시","시도",3,127.628302,"1",70,NA
"5568","전라남도","여수시","시도",3,127.628086,"1",70,NA
"5569","전라남도","여수시","시도",3,127.703065,"1",50,NA
"6145","전라남도","여수시","시도",3,127.631834,"2",30,NA
"7677","전라남도","여수시","시도",3,127.613427,"1",80,10.6
"8040","전라남도","여수시","지방도",3,127.719508,"2",60,NA
"8041","전라남도","여수시","시도",3,127.719508,"2",60,NA
"8044","전라남도","여수시","시도",3,127.612023,"2",30,NA
"8045","전라남도","여수시","시도",3,127.571081,"2",70,NA
"8046","전라남도","여수시","시도",3,127.571081,"2",70,NA
"9259","전라남도","여수시","시도",3,127.682701,"2",30,NA
"9408","전라남도","여수시","시도",3,127.693494,"1",60,NA
"9409","전라남도","여수시","시도",3,127.637013,"1",70,NA
"9410","전라남도","여수시","시도",3,127.674103,"1",60,NA
"9411","전라남도","여수시","시도",3,127.668683,"1",60,NA
"9412","전라남도","여수시","시도",3,127.648091,"1",70,NA
"9446","전라남도","여수시","시도",3,127.703131,"2",60,NA
"9447","전라남도","여수시","시도",3,127.703024,"2",60,NA
"9448","전라남도","여수시","시도",3,127.663068,"2",60,NA
"9449","전라남도","여수시","시도",3,127.663821,"2",60,NA
"9450","전라남도","여수시","시도",3,127.662377,"2",50,NA
"9451","전라남도","여수시","시도",3,127.684183,"2",50,NA
"9452","전라남도","여수시","시도",3,127.732872,"2",50,NA
"9453","전라남도","여수시","시도",3,127.702938,"2",60,NA
"9454","전라남도","여수시","시도",3,127.640198,"2",70,NA
"9455","전라남도","여수시","지방도",3,127.734254,"2",60,NA
"9456","전라남도","여수시","시도",3,127.695231,"2",60,NA
"9457","전라남도","여수시","시도",3,127.675655,"1",60,NA
"9480","전라남도","여수시","군도",3,127.639681,"2",50,NA
"9481","전라남도","여수시","시도",3,127.667781,"2",50,NA
"9508","전라남도","여수시","지방도",3,127.683981,"1",60,NA
"9557","전라남도","여수시","지방도",3,127.693845,"2",50,NA
"9558","전라남도","여수시","지방도",3,127.710971,"1",50,NA
"9663","전라남도","여수시","시도",3,127.686269,"1",70,NA
"9664","전라남도","여수시","시도",3,127.694525,"1",70,NA
"9665","전라남도","여수시","시도",3,127.694405,"1",50,NA
"9692","전라남도","여수시","시도",3,127.708531,"2",50,NA
"9709","전라남도","여수시","시도",3,127.696863,"1",60,NA
"9710","전라남도","여수시","일반국도",3,127.668048,"1",80,NA
"9716","전라남도","여수시","일반국도",3,127.632891,"1",80,NA
"9763","전라남도","여수시","시도",3,127.721473,"2",50,NA
"9764","전라남도","여수시","시도",3,127.649967,"2",50,NA
"9765","전라남도","여수시","일반국도",3,127.728511,"1",60,NA
"9766","전라남도","여수시","시도",3,127.647344,"1",60,NA
"9812","전라남도","여수시","시도",3,127.678904,"2",60,NA
"9813","전라남도","여수시","시도",3,127.669123,"1",60,NA
"9814","전라남도","여수시","일반국도",3,127.570665,"1",80,7.1
"9815","전라남도","여수시","일반국도",3,127.570665,"1",80,7.1
"9816","전라남도","여수시","일반국도",3,127.570733,"1",80,7.1
"9817","전라남도","여수시","일반국도",3,127.570735,"1",80,7.1
"9852","전라남도","여수시","시도",3,127.719509,"1",60,6.4
"9853","전라남도","여수시","시도",3,127.719509,"1",60,6.4
"9854","전라남도","여수시","시도",3,127.719509,"1",60,6.4
"9855","전라남도","여수시","시도",3,127.719509,"1",60,6.4
"11459","전라남도","여수시","시도",3,127.696601,"2",60,NA
"16190","전라남도","여수시","시도",3,127.694166,"2",70,NA
"16191","전라남도","여수시","시도",3,127.694464,"2",60,NA
"16192","전라남도","여수시","시도",3,127.662444,"2",60,NA
"16193","전라남도","여수시","시도",3,127.708827,"2",50,NA
"16194","전라남도","여수시","시도",3,127.717792,"2",30,NA
"16195","전라남도","여수시","시도",3,127.717462,"2",30,NA
"16196","전라남도","여수시","일반국도",3,127.731938,"2",50,NA
"16197","전라남도","여수시","일반국도",3,127.602854,"2",70,NA
"16198","전라남도","여수시","시도",3,127.654232,"2",50,NA
"16199","전라남도","여수시","일반국도",3,127.654827,"2",80,NA
"16200","전라남도","여수시","시도",3,127.645574,"2",50,NA
"16201","전라남도","여수시","시도",3,127.722344,"2",50,NA
"16202","전라남도","여수시","시도",3,127.731821,"2",50,NA
"16203","전라남도","여수시","시도",3,127.684132,"3",30,NA
"16204","전라남도","여수시","지방도",3,127.622961,"2",70,NA
"16205","전라남도","여수시","일반국도",3,127.612761,"2",70,NA
"16206","전라남도","여수시","시도",3,127.647939,"2",50,NA
"16207","전라남도","여수시","일반국도",3,127.728293,"2",50,NA
"16208","전라남도","여수시","시도",3,127.646681,"2",50,NA
