"","시도명","시군구명","도로종류","도로노선방향","경도","단속구분","제한속도","과속단속구간길이"
"5397","전라남도","나주시","일반국도",3,126.774078,"1",60,NA
"5398","전라남도","나주시","시도",3,126.826647,"1",30,NA
"5399","전라남도","나주시","시도",3,126.786797,"1",30,NA
"5400","전라남도","나주시","시도",3,126.762079,"1",30,NA
"5401","전라남도","나주시","시도",3,126.797265,"1",30,NA
"5402","전라남도","나주시","시도",3,126.797044,"1",30,NA
"5403","전라남도","나주시","시도",3,126.696168,"1",60,NA
"5421","전라남도","나주시","군도",3,126.783729,"2",30,NA
"5422","전라남도","나주시","군도",3,126.718253,"2",30,NA
"5423","전라남도","나주시","군도",3,126.719261,"2",30,NA
"5424","전라남도","나주시","군도",3,126.603821,"1",30,NA
"5425","전라남도","나주시","군도",3,126.612038,"1",30,NA
"5426","전라남도","나주시","일반국도",3,126.765171,"1",60,NA
"5427","전라남도","나주시","일반국도",3,126.776037,"1",60,NA
"5428","전라남도","나주시","시도",3,126.655671,"1",30,NA
"5429","전라남도","나주시","시도",3,126.714466,"1",30,NA
"5430","전라남도","나주시","시도",3,126.705102,"1",30,NA
"5431","전라남도","나주시","시도",3,126.753785,"1",30,NA
"5432","전라남도","나주시","시도",3,126.822453,"1",30,NA
"5433","전라남도","나주시","시도",3,126.657891,"1",30,NA
"5434","전라남도","나주시","시도",3,126.747805,"1",30,NA
"5435","전라남도","나주시","시도",3,126.708175,"2",60,NA
"5436","전라남도","나주시","시도",3,126.709057,"2",60,NA
"5437","전라남도","나주시","시도",3,126.710337,"2",60,NA
"5438","전라남도","나주시","시도",3,126.728899,"2",60,NA
"5439","전라남도","나주시","시도",3,126.713986,"2",60,NA
"5440","전라남도","나주시","시도",3,126.786909,"2",50,NA
"5441","전라남도","나주시","일반국도",3,126.837554,"2",70,NA
"5442","전라남도","나주시","일반국도",3,126.677855,"1",80,NA
"5443","전라남도","나주시","일반국도",3,126.712821,"1",60,NA
"5444","전라남도","나주시","일반국도",3,126.865372,"1",30,NA
"5546","전라남도","나주시","군도",3,126.778261,"2",30,NA
"5547","전라남도","나주시","군도",3,126.784551,"2",30,NA
"5548","전라남도","나주시","군도",3,126.790499,"2",30,NA
"5595","전라남도","나주시","시도",3,126.703935,"1",60,NA
"7629","전라남도","나주시","시도",3,126.719194,"1",30,NA
"7630","전라남도","나주시","지방도",3,126.804726,"1",30,NA
"7631","전라남도","나주시","시도",3,126.715028,"1",30,NA
"7632","전라남도","나주시","지방도",3,126.565205,"1",30,NA
"7633","전라남도","나주시","지방도",3,126.754941,"1",60,NA
"7634","전라남도","나주시","지방도",3,126.598138,"1",60,NA
"7635","전라남도","나주시","지방도",3,126.829333,"1",60,NA
"7636","전라남도","나주시","지방도",3,126.8292553,"1",30,NA
"8005","전라남도","나주시","일반국도",3,126.877987,"1",60,4.5
"8006","전라남도","나주시","일반국도",3,126.855214,"1",60,4.5
"8034","전라남도","나주시","지방도",3,126.696311,"2",70,NA
"8083","전라남도","나주시","지방도",3,126.703551,"2",70,NA
"9414","전라남도","나주시","일반국도",3,126.707234,"2",80,NA
"9415","전라남도","나주시","지방도",3,126.801049,"2",70,NA
"9416","전라남도","나주시","지방도",3,126.797872,"2",60,NA
"9417","전라남도","나주시","지방도",3,126.797751,"2",60,NA
"9418","전라남도","나주시","지방도",3,126.760913,"2",60,NA
"9419","전라남도","나주시","지방도",3,126.760672,"2",60,NA
"9431","전라남도","나주시","시도",3,126.7777404,"2",60,NA
"9432","전라남도","나주시","시도",3,126.7776972,"2",30,NA
"9434","전라남도","나주시","시도",3,126.711071,"2",60,NA
"9476","전라남도","나주시","지방도",3,126.852674,"1",60,NA
"9477","전라남도","나주시","지방도",3,126.852704,"1",60,NA
"9491","전라남도","나주시","지방도",3,126.794151,"2",60,NA
"9492","전라남도","나주시","지방도",3,126.785807,"2",30,NA
"9493","전라남도","나주시","지방도",3,126.785085,"2",30,NA
"9494","전라남도","나주시","지방도",3,126.795835,"2",30,NA
"9495","전라남도","나주시","지방도",3,126.778156,"2",30,NA
"9496","전라남도","나주시","지방도",3,126.795005,"2",60,NA
"9497","전라남도","나주시","일반국도",3,126.673885,"2",70,NA
"9498","전라남도","나주시","일반국도",3,126.643248,"2",70,NA
"9499","전라남도","나주시","지방도",3,126.664182,"1",60,NA
"9511","전라남도","나주시","지방도",3,126.718756,"2",60,NA
"9512","전라남도","나주시","일반국도",3,126.838563,"1",80,NA
"9513","전라남도","나주시","지방도",3,126.669061,"2",80,NA
"9670","전라남도","나주시","지방도",3,126.777403,"1",90,NA
"9671","전라남도","나주시","일반국도",3,126.753174,"1",90,NA
"9672","전라남도","나주시","일반국도",3,126.719657,"1",90,NA
"9693","전라남도","나주시","일반국도",3,126.609385,"2",60,NA
"9702","전라남도","나주시","시도",3,126.752529,"2",60,NA
"9703","전라남도","나주시","시도",3,126.752589,"2",60,NA
"9704","전라남도","나주시","시도",3,126.752369,"2",60,NA
"9705","전라남도","나주시","시도",3,126.759551,"2",70,NA
"9706","전라남도","나주시","시도",3,126.759247,"2",70,NA
"9729","전라남도","나주시","일반국도",3,126.715955,"2",60,NA
"9730","전라남도","나주시","일반국도",3,126.778491,"2",80,NA
"9731","전라남도","나주시","시도",3,126.723334,"2",60,NA
"9732","전라남도","나주시","시도",3,126.760859,"2",80,NA
"9733","전라남도","나주시","일반국도",3,126.705425,"2",80,NA
"9749","전라남도","나주시","일반국도",3,126.714251,"2",60,NA
"9750","전라남도","나주시","일반국도",3,126.639595,"2",60,NA
"9756","전라남도","나주시","일반국도",3,126.784197,"2",80,NA
"9771","전라남도","나주시","시도",3,126.790413,"2",60,NA
"9772","전라남도","나주시","일반국도",3,126.760215,"2",80,NA
"9773","전라남도","나주시","일반국도",3,126.841681,"1",80,NA
"9800","전라남도","나주시","지방도",3,126.845448,"1",30,NA
"9801","전라남도","나주시","일반국도",3,126.776139,"1",90,NA
"9804","전라남도","나주시","지방도",3,126.836177,"2",70,NA
"9805","전라남도","나주시","지방도",3,126.836268,"2",70,NA
"9820","전라남도","나주시","시도",3,126.790547,"2",60,NA
"9848","전라남도","나주시","일반국도",3,126.682057,"2",70,NA
